date,periode,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film_Noir,Game_Show,History,Horror,Music,Musical,Mystery,News,Reality_TV,Romance,Sci_Fi,Short,Sport,Thriller,War,Western
1916-1-1,1916-1926,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
1927-1-1,1927-1936,1,1,0,0,5,1,0,6,1,0,0,0,1,0,4,4,0,0,0,8,1,0,0,0,3,0
1937-1-1,1937-1946,0,3,4,0,3,0,0,17,8,7,3,0,1,0,7,6,2,0,0,12,0,0,0,2,4,2
1947-1-1,1947-1956,3,8,0,2,4,5,0,21,4,3,3,0,3,1,4,4,2,0,0,15,3,0,0,3,2,5
1957-1-1,1957-1966,9,13,1,5,12,8,0,34,5,1,0,0,10,2,7,6,2,0,0,15,1,0,1,10,11,5
1967-1-1,1967-1976,17,15,0,4,25,16,1,48,7,6,0,0,7,11,10,7,10,0,0,14,13,0,3,20,6,10
1977-1-1,1977-1986,67,75,1,12,61,21,1,91,11,39,0,0,12,54,21,10,16,0,0,37,59,0,8,54,15,8
1987-1-1,1987-1996,139,94,11,28,178,111,2,243,43,73,0,0,20,59,30,12,25,0,0,104,56,1,15,155,17,10
1997-1-1,1997-2006,378,307,84,95,789,372,44,988,209,195,0,0,60,155,119,41,210,0,0,465,196,0,88,520,73,24
2007-1-1,2007-2016,524,399,135,145,765,329,72,1080,249,273,0,0,89,278,123,42,213,3,0,423,274,4,67,626,76,33
