type,date,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film_Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci_Fi,Short,Sport,Thriller,War,Western
all,1926,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
all,1936,1,1,0,0,5,1,0,6,1,0,0,1,0,4,4,0,0,8,1,0,0,0,3,0
all,1946,0,3,4,0,3,0,0,17,8,7,3,1,0,7,6,2,0,12,0,0,0,2,4,2
all,1956,3,8,0,2,4,5,0,21,4,3,3,3,1,4,4,2,0,15,3,0,0,3,2,5
all,1966,9,13,1,5,12,8,0,34,5,1,0,10,2,7,6,2,0,15,1,0,1,10,11,5
all,1976,17,15,0,4,25,16,1,48,7,6,0,7,11,10,7,10,0,14,13,0,3,20,6,10
all,1986,67,75,1,12,61,21,1,91,11,39,0,12,54,21,10,16,0,37,59,0,8,54,15,8
all,1996,139,94,11,28,178,111,2,243,43,73,0,20,59,30,12,25,0,104,56,1,15,155,17,10
all,2006,378,307,84,95,789,372,44,988,209,195,0,60,155,119,41,210,0,465,196,0,88,520,73,24
all,2016,524,399,135,145,765,329,72,1080,249,273,0,89,278,123,42,213,3,423,274,4,67,626,76,33
range1,1916,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
range1,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1920,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range1,1925,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
range1,1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range2,1927,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
range2,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range2,1929,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
range2,1930,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
range2,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range2,1932,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
range2,1933,0,0,0,0,2,0,0,1,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0
range2,1934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
range2,1935,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
range2,1936,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
range3,1937,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
range3,1938,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
range3,1939,0,1,0,0,1,0,0,2,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0
range3,1940,0,1,2,0,0,0,0,3,3,3,1,0,0,2,1,1,0,1,0,0,0,1,0,1
range3,1941,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
range3,1942,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
range3,1943,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
