source,target,value
Akira Kurosawa,Minoru Chiaki,1
Alex Proyas,Bai Ling,2
Alex Proyas,William Hurt,3
Andrew Davis,Daniel Roebuck,4
Ang Lee,Pei-Pei Cheng,5
Anthony Russo,Scarlett Johansson,6
Anthony Russo,Chris Evans,7
Brad Bird,Craig T. Nelson,8
Brad Bird,Harry Connick Jr.,9
Bryan Singer,Peter Dinklage,10
Bryan Singer,Bruce Davison,11
Chia-Liang Liu,Anita Mui,12
Christopher Nolan,Christian Bale,13
Christopher Nolan,Heath Ledger,14
Christopher Nolan,Tom Hardy,15
Christopher Nolan,Liam Neeson,16
David Ayer,Logan Lerman,17
Dean DeBlois,Djimon Hounsou,18
Denis Villeneuve,Bernardo Saracino,19
Don Hall,Daniel Henney,20
Doug Liman,Lara Pulver,21
Doug Liman,Josh Hamilton,22
Edgar Wright,Kieran Culkin,23
Edgar Wright,Joe Cornish,24
Edward Zwick,Tony Goldwyn,25
Gareth Evans,Yayan Ruhian,26
George Lucas,Christopher Lee,27
George Lucas,Peter Cushing,28
George Miller,Charlize Theron,29
George Miller,Bruce Spence,30
George P. Cosmatos,Dana Delany,31
Giovanni Zelko,Harry Lennix,32
Gore Verbinski,Orlando Bloom,33
Guy Hamilton,Gert Fröbe,34
Guy Ritchie,Eddie Marsan,35
Guy Ritchie,Eddie Marsan,36
Hideaki Anno,Shin'ya Tsukamoto,37
Hideaki Anno,Shin'ya Tsukamoto,38
Howard Hawks,Walter Brennan,39
Irvin Kershner,Kenny Baker,40
J.J. Abrams,Bruce Greenwood,41
J.J. Abrams,Leonard Nimoy,42
James Cameron,Joel David Moore,43
James Cameron,Jenette Goldstein,44
James Cameron,Carrie Henn,45
James Cameron,Brian Thompson,46
James Gunn,Vin Diesel,47
James McTeigue,Eddie Marsan,48
Jay Oliva,Mark Valley,49
Je-kyu Kang,Bin Won,50
Jim Jarmusch,Gano Grills,51
John Landis,Aretha Franklin,52
John McTiernan,Aldis Hodge,53
John McTiernan,Jeffrey Jones,54
John McTiernan,Bruce Willis,55
John McTiernan,Bill Duke,56
John Stockwell,T.J. Storm,57
Jon Favreau,Jeff Bridges,58
Jonathan Frakes,Alfre Woodard,59
José Padilha,Fernanda Machado,60
Joseph Kosinski,Lauren Cohan,61
Joss Whedon,Robert Downey Jr.,62
Joss Whedon,Robert Downey Jr.,63
Joss Whedon,Robert Downey Jr.,64
Joss Whedon,Sean Maher,65
Justin Lin,Melissa Roxburgh,66
Katsuhiro Ôtomo,Takeshi Kusao,67
Ken Annakin,Richard Beymer,68
Kenneth Branagh,Derek Jacobi,69
Kevin Reynolds,James Frain,70
Kurt Wimmer,Emily Watson,71
Lana Wachowski,Marcus Chong,72
Lance McDaniel,Steven Michael Quezada,73
Luc Besson,Bruce Willis,74
Mark Osborne,Wayne Knight,75
Martin Brest,Yaphet Kotto,76
Martin Campbell,Tobias Menzies,77
Martin Campbell,Tobias Menzies,78
Matt Birch,Dave Legeno,79
Matt Reeves,Judy Greer,80
Matthew Vaughn,Michael Fassbender,81
Matthew Vaughn,Deborah Twiss,82
Mel Gibson,Dalia Hernández,83
Michael Mann,Terry Kinney,84
Neill Blomkamp,Jed Brophy,85
Nicholas Meyer,Kirstie Alley,86
Niels Arden Oplev,David Dencik,87
Paul Greengrass,Edgar Ramírez,88
Paul Greengrass,Joan Allen,89
Paul Verhoeven,Rachel Ticotin,90
Paul Verhoeven,Rachel Ticotin,91
Peter Berg,Scott Elrod,92
Peter Jackson,Orlando Bloom,93
Peter Jackson,Billy Boyd,94
Peter Jackson,Orlando Bloom,95
Phil Lord,Will Ferrell,96
Pierre Morel,Holly Valance,97
Quentin Tarantino,Vivica A. Fox,98
Quentin Tarantino,Michael Parks,99
Raja Menon,Sameer Ali Khan,100
Ralph Ziman,Kenneth Nkosi,101
Richard Fleischer,Richard Anderson,102
Richard Marquand,Ian McDiarmid,103
Ridley Scott,Connie Nielsen,104
Robert Rodriguez,Rosario Dawson,105
Ron Howard,Olivia Wilde,106
Rupert Wyatt,David Oyelowo,107
S.S. Rajamouli,Anushka Shetty,108
Sadyk Sher-Niyaz,Aziz Muradillayev,109
Sam Mendes,Helen McCrory,110
Sam Mendes,Helen McCrory,111
Sam Peckinpah,Warren Oates,112
Sergio Leone,Gian Maria Volontè,113
Stanley Kramer,Sid Caesar,114
Stephen Chow,Chi Ling Chiu,115
Steven Spielberg,Frank Grillo,116
Steven Spielberg,Vin Diesel,117
Steven Spielberg,Julian Glover,118
Steven Spielberg,Amrish Puri,119
Steven Spielberg,Karen Allen,120
Ted Kotcheff,Brian Dennehy,121
Ted Kotcheff,Brian Dennehy,122
Terence Young,Daniela Bianchi,123
Tim Burton,Jack Palance,124
Tim Miller,Ed Skrein,125
Tony Scott,Radha Mitchell,126
Tony Scott,Gary Oldman,127
Troy Duffy,David Della Rocco,128
William Friedkin,Fernando Rey,129
William Friedkin,Fernando Rey,130
Yimou Zhang,Tony Chiu Wai Leung,131
Yimou Zhang,Tony Chiu Wai Leung,132
Yimou Zhang,Andy Lau,133
Zack Snyder,Billy Crudup,134
Zack Snyder,Michael Fassbender,135
Akira Kurosawa,Takashi Shimura,136
Alex Proyas,Michael Wincott,137
Alex Proyas,Rufus Sewell,138
Andrew Davis,Harrison Ford,139
Ang Lee,Chen Chang,140
Anthony Russo,Robert Downey Jr.,141
Anthony Russo,Scarlett Johansson,142
Brad Bird,Holly Hunter,143
Brad Bird,Vin Diesel,144
Bryan Singer,Jennifer Lawrence,145
Bryan Singer,Hugh Jackman,146
Chia-Liang Liu,Andy Lau,147
Christopher Nolan,Tom Hardy,148
Christopher Nolan,Christian Bale,149
Christopher Nolan,Leonardo DiCaprio,150
Christopher Nolan,Christian Bale,151
David Ayer,Brad Pitt,152
Dean DeBlois,Gerard Butler,153
Denis Villeneuve,Edgar Arreola,154
Don Hall,Damon Wayans Jr.,155
Doug Liman,Tom Cruise,156
Doug Liman,Matt Damon,157
Edgar Wright,Anna Kendrick,158
Edgar Wright,Bill Bailey,159
Edward Zwick,Tom Cruise,160
Gareth Evans,Iko Uwais,161
George Lucas,Natalie Portman,162
George Lucas,Harrison Ford,163
George Miller,Tom Hardy,164
George Miller,Vernon Wells,165
George P. Cosmatos,Michael Biehn,166
Giovanni Zelko,Zuhair Haddad,167
Gore Verbinski,Johnny Depp,168
Guy Hamilton,Honor Blackman,169
Guy Ritchie,Robert Downey Jr.,170
Guy Ritchie,Robert Downey Jr.,171
Hideaki Anno,Mark Chinnery,172
Hideaki Anno,Mark Chinnery,173
Howard Hawks,Montgomery Clift,174
Irvin Kershner,Harrison Ford,175
J.J. Abrams,Benedict Cumberbatch,176
J.J. Abrams,Chris Hemsworth,177
James Cameron,CCH Pounder,178
James Cameron,Joe Morton,179
James Cameron,Michael Biehn,180
James Cameron,Michael Biehn,181
James Gunn,Bradley Cooper,182
James McTeigue,Natalie Portman,183
Jay Oliva,Michael Emerson,184
Je-kyu Kang,Min-sik Choi,185
Jim Jarmusch,Henry Silva,186
John Landis,John Belushi,187
John McTiernan,Bruce Willis,188
John McTiernan,Scott Glenn,189
John McTiernan,Alan Rickman,190
John McTiernan,Shane Black,191
John Stockwell,Matthew Ziff,192
Jon Favreau,Robert Downey Jr.,193
Jonathan Frakes,LeVar Burton,194
José Padilha,Wagner Moura,195
Joseph Kosinski,Peter Dinklage,196
Joss Whedon,Chris Hemsworth,197
Joss Whedon,Chris Hemsworth,198
