source ,target,value
James Cameron,Joel David Moore,1
Nathan Greno,Donna Murphy,2
Joss Whedon,Robert Downey Jr.,3
David Yates,Daniel Radcliffe,4
Joss Whedon,Robert Downey Jr.,5
Peter Jackson,Adam Brown,6
Peter Jackson,Adam Brown,7
Anthony Russo,Scarlett Johansson,8
Sam Mendes,Helen McCrory,9
Lee Unkrich,John Ratzenberger,10
Bryan Singer,Peter Dinklage,11
J.J. Abrams,Bruce Greenwood,12
Justin Lin,Melissa Roxburgh,13
Andrew Stanton,Fred Willard,14
Pete Docter,Delroy Lindo,15
Jon Favreau,Jeff Bridges,16
Martin Scorsese,Christopher Lee,17
Doug Liman,Lara Pulver,18
Pete Docter,Mindy Kaling,19
Jon Favreau,Bill Murray,20
Matt Reeves,Judy Greer,21
Anthony Russo,Chris Evans,22
Don Hall,Daniel Henney,23
Rich Moore,Sarah Silverman,24
Dean DeBlois,America Ferrera,25
James Gunn,Vin Diesel,26
Christopher Nolan,Anne Hathaway,27
Christopher Nolan,Tom Hardy,28
Hideaki Anno,Shin'ya Tsukamoto,29
Peter Jackson,Adam Brown,30
Matthew Vaughn,Michael Fassbender,31
David Yates,Daniel Radcliffe,32
Mike Newell,Daniel Radcliffe,33
Christopher Nolan,Liam Neeson,34
Chris Buck,Maurice LaMarche,35
George Miller,Charlize Theron,36
J.J. Abrams,Leonard Nimoy,37
Dean DeBlois,Djimon Hounsou,38
Alejandro G. Iñárritu,Tom Hardy,39
Mark Osborne,Wayne Knight,40
Francis Lawrence,Josh Hutcherson,41
Alfonso Cuarón,Gary Oldman,42
Chris Columbus,Fiona Shaw,43
Hideaki Anno,Shin'ya Tsukamoto,44
Gore Verbinski,Orlando Bloom,45
Bryan Singer,Bruce Davison,46
Guy Ritchie,Eddie Marsan,47
Ang Lee,Rafe Spall,48
George Lucas,Christopher Lee,49
Pete Docter,John Ratzenberger,50
Alfonso Cuaron,Basher Savage,51
Peter Jackson,Orlando Bloom,52
Ridley Scott,Donald Glover,53
Martin Campbell,Tobias Menzies,54
Edward Zwick,Djimon Hounsou,55
Luc Besson,Bruce Willis,56
Andrew Stanton,Stephen Root,57
Peter Jackson,Billy Boyd,58
Peter Jackson,Orlando Bloom,59
Brad Bird,Craig T. Nelson,60
John Lasseter,John Ratzenberger,61
Tony Bancroft,Harvey Fierstein,62
