source ,target,value
Akira Kurosawa,Minoru Chiaki,1
Akira Kurosawa,Takashi Shimura,2
Akira Kurosawa,Kamatari Fujiwara,3
Alejandro G. Iñárritu,Tom Hardy,4
Alejandro G. Iñárritu,Leonardo DiCaprio,5
Alejandro G. Iñárritu,Lukas Haas,6
Aleksandr Veledinskiy,Elena Lyadova,7
Aleksandr Veledinskiy,Konstantin Khabenskiy,8
Aleksandr Veledinskiy,Eugenia Khirivskaya,9
Alexander Payne,Patrick Gallagher,10
Alexander Payne,Bruce Dern,11
Alexander Payne,Virginia Madsen,12
Alexander Payne,Devin Ratray,13
Alexander Payne,M.C. Gainey,14
Alexander Payne,Will Forte,15
Alfonso Cuarón,Gary Oldman,16
Alfonso Cuarón,Daniel Giménez Cacho,17
Alfonso Cuarón,Daniel Radcliffe,18
Alfonso Cuarón,Maribel Verdú,19
Alfonso Cuarón,Rupert Grint,20
Alfonso Cuarón,María Aura,21
Alfonso Cuaron,Basher Savage,22
Alfonso Cuaron,Phaldut Sharma,23
Alfonso Cuaron,Amy Warren,24
Andrew Adamson,Chris Miller,25
Andrew Adamson,Kathleen Freeman,26
Andrew Adamson,Bobby Block,27
Andrew Davis,Daniel Roebuck,28
Andrew Davis,Harrison Ford,29
Andrew Davis,Sela Ward,30
Andrew Stanton,Fred Willard,31
Andrew Stanton,Stephen Root,32
Andrew Stanton,John Ratzenberger,33
Andrew Stanton,Alexander Gould,34
Andrew Stanton,Jeff Garlin,35
Andrew Stanton,Brad Garrett,36
Ang Lee,Rafe Spall,37
Ang Lee,Suraj Sharma,38
Ang Lee,Tabu,39
Anthony Powell,Tom Hamann,40
Anthony Powell,Josh Swanson,41
Anthony Powell,Anthony Powell,42
Anthony Russo,Scarlett Johansson,43
Anthony Russo,Chris Evans,44
Anthony Russo,Robert Downey Jr.,45
Anthony Russo,Scarlett Johansson,46
Anthony Russo,Chris Evans,47
Anthony Russo,Hayley Atwell,48
Brad Bird,Craig T. Nelson,49
Brad Bird,Harry Connick Jr.,50
Brad Bird,Holly Hunter,51
Brad Bird,Vin Diesel,52
Brad Bird,Lou Romano,53
Brad Bird,M. Emmet Walsh,54
Bryan Singer,Peter Dinklage,55
Bryan Singer,Bruce Davison,56
Bryan Singer,Jennifer Lawrence,57
Bryan Singer,Hugh Jackman,58
Bryan Singer,Hugh Jackman,59
Bryan Singer,Aaron Stanford,60
Cameron Crowe,Zooey Deschanel,61
Cameron Crowe,Philip Seymour Hoffman,62
Cameron Crowe,Michael Angarano,63
Chris Buck,Maurice LaMarche,64
Chris Buck,Josh Gad,65
Chris Buck,Livvy Stubenrauch,66
Chris Columbus,Fiona Shaw,67
Chris Columbus,Daniel Radcliffe,68
Chris Columbus,Verne Troyer,69
Chris Wedge,Stephen Root,70
Chris Wedge,Goran Visnjic,71
Chris Wedge,Denis Leary,72
Christopher Nolan,Anne Hathaway,73
Christopher Nolan,Tom Hardy,74
Christopher Nolan,Liam Neeson,75
Christopher Nolan,Matthew McConaughey,76
Christopher Nolan,Leonardo DiCaprio,77
Christopher Nolan,Christian Bale,78
Christopher Nolan,Mackenzie Foy,79
Christopher Nolan,Joseph Gordon-Levitt,80
Christopher Nolan,Morgan Freeman,81
Danny Boyle,Treat Williams,82
Danny Boyle,James Franco,83
Danny Boyle,Kate Burton,84
David Lean,José Ferrer,85
David Lean,Sessue Hayakawa,86
David Lean,Claude Rains,87
David Lean,William Holden,88
David Lean,Jack Hawkins,89
David Lean,Jack Hawkins,90
David Yates,Daniel Radcliffe,91
David Yates,Daniel Radcliffe,92
David Yates,Alan Rickman,93
David Yates,Robert Pattinson,94
David Yates,Rupert Grint,95
David Yates,Fiona Shaw,96
Dean DeBlois,America Ferrera,97
Dean DeBlois,Djimon Hounsou,98
Dean DeBlois,Gerard Butler,99
Dean DeBlois,Gerard Butler,100
Dean DeBlois,Craig Ferguson,101
Dean DeBlois,America Ferrera,102
Don Hall,Daniel Henney,103
Don Hall,Damon Wayans Jr.,104
Don Hall,Abraham Benrubi,105
Doug Liman,Lara Pulver,106
Doug Liman,Tom Cruise,107
Doug Liman,Noah Taylor,108
Edward Zwick,Djimon Hounsou,109
Edward Zwick,Leonardo DiCaprio,110
Edward Zwick,Stephen Collins,111
Ethan Coen,Jeff Bridges,112
Ethan Coen,Matt Damon,113
Ethan Coen,Bruce Green,114
Francis Lawrence,Josh Hutcherson,115
Francis Lawrence,Jennifer Lawrence,116
Francis Lawrence,Sandra Ellis Lafferty,117
George Lucas,Christopher Lee,118
George Lucas,Peter Cushing,119
George Lucas,Natalie Portman,120
George Lucas,Harrison Ford,121
George Lucas,Hayden Christensen,122
George Lucas,Kenny Baker,123
George Miller,Charlize Theron,124
George Miller,Bruce Spence,125
George Miller,Tom Hardy,126
George Miller,Vernon Wells,127
George Miller,Zoë Kravitz,128
George Miller,Kjell Nilsson,129
Gore Verbinski,Orlando Bloom,130
Gore Verbinski,Johnny Depp,131
Gore Verbinski,Jack Davenport,132
Greg Tiernan,Salma Hayek,133
Greg Tiernan,James Franco,134
Greg Tiernan,Anders Holm,135
Guy Hamilton,Gert Fröbe,136
Guy Hamilton,Honor Blackman,137
Guy Hamilton,Lois Maxwell,138
Guy Ritchie,Eddie Marsan,139
Guy Ritchie,Eddie Marsan,140
Guy Ritchie,Robert Downey Jr.,141
Guy Ritchie,Robert Downey Jr.,142
Guy Ritchie,Paul Anderson,143
Guy Ritchie,Robert Maillet,144
Hayao Miyazaki,Yûki Amami,145
Hayao Miyazaki,Blythe Danner,146
Hayao Miyazaki,Jada Pinkett Smith,147
Hayao Miyazaki,Ryûnosuke Kamiki,148
Hayao Miyazaki,Rumi Hiiragi,149
Hayao Miyazaki,Christian Bale,150
Hayao Miyazaki,Minnie Driver,151
Hayao Miyazaki,Bunta Sugawara,152
Hayao Miyazaki,Yuria Nara,153
Hayao Miyazaki,Jean Simmons,154
Hayao Miyazaki,Billy Crudup,155
Hayao Miyazaki,Miyu Irino,156
Hideaki Anno,Shin'ya Tsukamoto,157
Hideaki Anno,Shin'ya Tsukamoto,158
Hideaki Anno,Mark Chinnery,159
Hideaki Anno,Mark Chinnery,160
Hideaki Anno,Atsuko Maeda,161
Hideaki Anno,Atsuko Maeda,162
Howard Hawks,Walter Brennan,163
Howard Hawks,Montgomery Clift,164
Howard Hawks,Harry Carey Jr.,165
Irvin Kershner,Kenny Baker,166
Irvin Kershner,Harrison Ford,167
Irvin Kershner,Anthony Daniels,168
J.J. Abrams,Bruce Greenwood,169
J.J. Abrams,Leonard Nimoy,170
J.J. Abrams,Benedict Cumberbatch,171
J.J. Abrams,Chris Hemsworth,172
J.J. Abrams,Noel Clarke,173
J.J. Abrams,Bruce Greenwood,174
James Cameron,Joel David Moore,175
James Cameron,Todd Graff,176
James Cameron,Carrie Henn,177
James Cameron,CCH Pounder,178
James Cameron,Michael Biehn,179
James Cameron,Michael Biehn,180
James Cameron,Wes Studi,181
James Cameron,Mary Elizabeth Mastrantonio,182
James Cameron,Jenette Goldstein,183
James Frawley,Jim Henson,184
James Frawley,Madeline Kahn,185
James Frawley,Dom DeLuise,186
James Gunn,Vin Diesel,187
James Gunn,Bradley Cooper,188
James Gunn,Djimon Hounsou,189
James Mangold,Logan Lerman,190
James Mangold,Christian Bale,191
James Mangold,Gretchen Mol,192
Joel Coen,Tim Blake Nelson,193
Joel Coen,Holly Hunter,194
Joel Coen,Daniel von Bargen,195
John Cromwell,Mary Astor,196
John Cromwell,David Niven,197
John Cromwell,Ronald Colman,198
John Lasseter,John Ratzenberger,199
John Lasseter,John Ratzenberger,200
John Lasseter,Tom Hanks,201
John Lasseter,Tom Hanks,202
John Lasseter,Wayne Knight,203
John Lasseter,Jim Varney,204
John McTiernan,Aldis Hodge,205
John McTiernan,Jeffrey Jones,206
John McTiernan,Bruce Willis,207
John McTiernan,Scott Glenn,208
John McTiernan,Kevin Chamberlin,209
John McTiernan,Courtney B. Vance,210
John Sturges,Donald Pleasence,211
John Sturges,James Coburn,212
John Sturges,Gordon Jackson,213
Jon Favreau,Jeff Bridges,214
Jon Favreau,Bill Murray,215
Jon Favreau,Bill Murray,216
Jon Favreau,Robert Downey Jr.,217
Jon Favreau,Scarlett Johansson,218
Jon Favreau,Scarlett Johansson,219
Jon Favreau,Jon Favreau,220
Jon Favreau,Garry Shandling,221
Jon Favreau,Garry Shandling,222
Jonathan Frakes,Alfre Woodard,223
Jonathan Frakes,LeVar Burton,224
Jonathan Frakes,Jonathan Frakes,225
Joseph Kosinski,Lauren Cohan,226
Joseph Kosinski,Peter Dinklage,227
Joseph Kosinski,Erick Avari,228
Joss Whedon,Robert Downey Jr.,229
Joss Whedon,Robert Downey Jr.,230
Joss Whedon,Robert Downey Jr.,231
Joss Whedon,Sean Maher,232
Joss Whedon,Chris Hemsworth,233
Joss Whedon,Chris Hemsworth,234
Joss Whedon,Chris Hemsworth,235
Joss Whedon,Adam Baldwin,236
Joss Whedon,Scarlett Johansson,237
Joss Whedon,Scarlett Johansson,238
Joss Whedon,Scarlett Johansson,239
Joss Whedon,Michael Hitchcock,240
Justin Lin,Melissa Roxburgh,241
Justin Lin,Sofia Boutella,242
Justin Lin,Lydia Wilson,243
Justin Tipping,Natalie Stephany Aguilar,244
Justin Tipping,Tina Gilton,245
Justin Tipping,Justin Hall,246
Karan Johar,Jimmy Shergill,247
Karan Johar,Shah Rukh Khan,248
Karan Johar,Christopher B. Duncan,249
Kevin Costner,Michael Spears,250
Kevin Costner,Mary McDonnell,251
Kevin Costner,Maury Chaykin,252
Kevin Macdonald,Brendan Mackey,253
Kevin Macdonald,Nicholas Aaron,254
Kevin Macdonald,Joe Simpson,255
Kevin Reynolds,James Frain,256
Kevin Reynolds,Henry Cavill,257
Kevin Reynolds,Michael Wincott,258
Khyentse Norbu,Lhakpa Dorji,259
Khyentse Norbu,Tshewang Dendup,260
Khyentse Norbu,Sonam Kinga,261
Lee Unkrich,John Ratzenberger,262
Lee Unkrich,Tom Hanks,263
Lee Unkrich,Don Rickles,264
Luc Besson,Bruce Willis,265
Luc Besson,Milla Jovovich,266
Luc Besson,Gary Oldman,267
Mark Osborne,Wayne Knight,268
Mark Osborne,James Franco,269
Mark Osborne,Angelina Jolie Pitt,270
Mark Osborne,Jeff Bridges,271
Mark Osborne,Dan Fogler,272
Mark Osborne,Mackenzie Foy,273
Martin Campbell,Tobias Menzies,274
Martin Campbell,Tobias Menzies,275
Martin Campbell,Eva Green,276
Martin Campbell,Eva Green,277
Martin Campbell,Ivana Milicevic,278
Martin Campbell,Ivana Milicevic,279
Martin Scorsese,Christopher Lee,280
Martin Scorsese,Chloë Grace Moretz,281
Martin Scorsese,Ray Winstone,282
Matt Reeves,Judy Greer,283
Matt Reeves,Gary Oldman,284
Matt Reeves,Kodi Smit-McPhee,285
Matthew Vaughn,Michael Fassbender,286
Matthew Vaughn,David Kelly,287
Matthew Vaughn,Jennifer Lawrence,288
Matthew Vaughn,Henry Cavill,289
Matthew Vaughn,Oliver Platt,290
Matthew Vaughn,Nathaniel Parker,291
Mel Gibson,Dalia Hernández,292
Mel Gibson,Rudy Youngblood,293
Mel Gibson,Jonathan Brewer,294
Michael Mann,Terry Kinney,295
Michael Mann,Wes Studi,296
