source,target,value
Nathan Greno,Donna Murphy,1
Dan Scanlon,Tyler Labine,2
John Lasseter,Thomas Kretschmann,3
Lee Unkrich,John Ratzenberger,4
Peter Sohn,Jack McGraw,5
Mark Andrews,John Ratzenberger,6
Andrew Stanton,Fred Willard,7
Robert Zemeckis,Colin Firth,8
Pete Docter,Delroy Lindo,9
Rob Letterman,Rainn Wilson,10
Pete Docter,Mindy Kaling,11
Mike Mitchell,Kathy Griffin,12
Don Hall,Daniel Henney,13
Rich Moore,Sarah Silverman,14
Robert Zemeckis,Eddie Deezen,15
Dean DeBlois,America Ferrera,16
Chris Miller,Eric Idle,17
Brad Bird,John Ratzenberger,18
Eric Darnell,Jada Pinkett Smith,19
Chris Buck,Maurice LaMarche,20
Byron Howard,Diedrich Bader,21
Hoyt Yeatman,Piper Mackenzie Harris,22
Steve Hickner,Oprah Winfrey,23
Jennifer Yuh Nelson,Gary Oldman,24
Simon Wells,Dan Fogler,25
David Bowers,Kate Winslet,26
Rob Minkoff,Zach Callison,27
Eric Darnell,Martin Short,28
Robert Zemeckis,Anthony Hopkins,29
Alessandro Carloni,Angelina Jolie Pitt,30
Peter Ramsey,Kamil McFadden,31
Dean DeBlois,Djimon Hounsou,32
Hironobu Sakaguchi,Ming-Na Wen,33
George Miller,Brad Pitt,34
David Soren,Snoop Dogg,35
Gore Verbinski,Ray Winstone,36
Eric Darnell,Annet Mahendru,37
Mark Osborne,Wayne Knight,38
Tim Johnson,Matt Jones,39
Chris Miller,Constance Marie,40
Eric Leighton,D.B. Sweeney,41
Tom McGrath,Brad Pitt,42
Carlos Saldanha,Rachel Crow,43
Rob Minkoff,Brad Garrett,44
Pete Docter,John Ratzenberger,45
Kirk De Micco,Emma Stone,46
Raja Gosnell,Tim Gunn,47
Will Finn,Roseanne Barr,48
Raja Gosnell,Nancy O'Dell,49
Ron Clements,Jenifer Lewis,50
Gary Trousdale,Jason Alexander,51
Mark Dindal,Wendie Malick,52
Chris Wedge,Emma Kenney,53
Zack Snyder,Richard Roxburgh,54
Ron Clements,Martin Short,55
Steve Martino,Venus Schultheis,56
Ash Brannon,Zooey Deschanel,57
Bibo Bergeron,Rosie Perez,58
Steve Martino,Josh Gad,59
Andrew Stanton,Stephen Root,60
Brad Bird,Craig T. Nelson,61
John Lasseter,John Ratzenberger,62
Phil Lord,Bobb'e J. Thompson,63
Carlos Saldanha,Maile Flanagan,64
Tony Bancroft,Harvey Fierstein,65
Gary Trousdale,Jim Varney,66
Walt Becker,Joshua Mikel,67
Chris Columbus,Adam Sandler,68
Carlos Saldanha,Wanda Sykes,69
George Miller,Hugh Jackman,70
Genndy Tartakovsky,Adam Sandler,71
Kevin Lima,Teala Dunn,72
Roger Allers,Debra Messing,73
Sarah Smith,Imelda Staunton,74
Tim Johnson,Steve Carell,75
Dean DeBlois,Jason Scott Lee,76
Mike Mitchell,Jesse McCartney,77
Chris Wedge,Drew Carey,78
Joe Pytka,Wayne Knight,79
Eric Brevig,Tom Cavanagh,80
Kelly Asbury,Charles Napier,81
Genndy Tartakovsky,Adam Sandler,82
James Algar,Penn Jillette,83
Barry Cook,Tiya Sircar,84
Joe Dante,Jenna Elfman,85
Luc Besson,Adam LeFevre,86
Andrés Couturier,David Hoffman,87
Roger Allers,Nathan Lane,88
Cody Cameron,Khamani Griffin,89
Mark Osborne,James Franco,90
Des McAnuff,Janeane Garofalo,91
Yarrow Cheney,Eric Stonestreet,92
Pierre Coffin,Miranda Cosgrove,93
Eric Darnell,Cedric the Entertainer,94
Carlos Saldanha,Ray Romano,95
Bibo Bergeron,Martin Scorsese,96
Gil Kenan,Jon Heder,97
Don Bluth,Janeane Garofalo,98
Henry Selick,Bridget Fonda,99
Kyle Balda,Jon Hamm,100
Clay Kaytis,Josh Gad,101
David Silverman,Yeardley Smith,102
Andrew Adamson,Jennifer Saunders,103
John Lasseter,Cheech Marin,104
Paul Tibbitt,Billy West,105
Betty Thomas,Bridgit Mendler,106
Bobby Farrelly,Brandy Norwood,107
Will Finn,Oliver Platt,108
Pierre Coffin,Miranda Cosgrove,109
Chris Wedge,Stephen Root,110
David Bowers,Charlize Theron,111
Tim Hill,Elizabeth Perkins,112
Mark Dindal,Fred Willard,113
Brenda Chapman,Aria Noelle Curzon,114
Eric Darnell,Woody Allen,115
Henry Selick,Dawn French,116
Chris Butler,Kodi Smit-McPhee,117
Sam Fell,Matthew Broderick,118
Graham Annable,Dee Bradley Baker,119
Phil Lord,Will Ferrell,120
Jorge Blanco,Gary Oldman,121
Tim Hill,Roger Rees,122
Patrick Gilmore,Adriano Giannini,123
Tim Hill,Beth Riesgraf,124
Mike Gabriel,Frank Welker,125
Jimmy Hayward,Carlos Ponce,126
Paul King,Matt Lucas,127
Peter Lord,Russell Tovey,128
Don Bluth,Kelsey Grammer,129
Steve Oedekerk,Wanda Sykes,130
Andrew Adamson,Chris Miller,131
Peter Hewitt,Mark Christopher Lawrence,132
Matthew O'Callaghan,Frank Welker,133
Jorge R. Gutiérrez,Hector Elizondo,134
Brad Bird,Harry Connick Jr.,135
Paul Bolger,George Carlin,136
John Lasseter,Madeline Kahn,137
John A. Davis,Meryl Streep,138
Lawrence Kasanoff,Larry Miller,139
Norman Ferguson,Dickie Jones,140
Peter Lord,Miranda Richardson,141
Jamel Debbouze,Youssef Hajdi,142
Cal Brunker,Paul Scheer,143
Frederik Du Chau,Jaleel White,144
Wes Anderson,Meryl Streep,145
Marc F. Adler,Anne Bancroft,146
Bibo Bergeron,Bob Balaban,147
Tim Burton,Catherine O'Hara,148
Yuefeng Song,Bianca Collins,149
Kirk De Micco,Kenan Thompson,150
Kevin Munroe,Sarah Michelle Gellar,151
Gary Chapman,Olivia Williams,152
Hayao Miyazaki,Yûki Amami,153
Jeremy Degruson,Brianne Brozey,154
Mark Dindal,Frank Welker,155
John Lasseter,John Ratzenberger,156
Stephen Hillenburg,Bill Fagerbakke,157
Stig Bergqvist,Casey Kasem,158
Peter Lepeniotis,Brendan Fraser,159
Steve Box,Geraldine McEwan,160
Tim Burton,Christopher Lee,161
Shane Acker,Alan Oppenheimer,162
Stephen J. Anderson,Robert Lopez,163
Mike Disa,Phil LaMarr,164
Reinhard Klooss,Vanessa Redgrave,165
Maksim Fadeev,Fedor Bondarchuk,166
Greg Tiernan,Salma Hayek,167
Ron Clements,Frank Welker,168
Igor Kovalyov,Cree Summer,169
Shinji Aramaki,Yû Aoi,170
John A. Davis,Rob Paulsen,171
Cathy Malkasian,Flea,172
John Eng,Cree Summer,173
Ben Stassen,Jenny McCarthy,174
Jérôme Deschamps,André Wilms,175
Inna Evlannikova,Evgeniy Mironov,176
Richard Williams,Kenneth Williams,177
Hayao Miyazaki,Blythe Danner,178
Juan José Campanella,Diego Ramos,179
Trey Parker,Eric Idle,180
Robin Budd,Rob Paulsen,181
Steve Trenbirth,Phil Collins,182
Jun Falkenstein,John Fiedler,183
Anthony Bell,Larry Miller,184
Frank Nissen,Brenda Blethyn,185
Dave Borthwick,Kylie Minogue,186
Richard Linklater,Keanu Reeves,187
Hayao Miyazaki,Jada Pinkett Smith,188
