source,target,value
Adam McKay,Christian Bale,1
Adam McKay,Ryan Gosling,1
Adam McKay,Charlie Talbert,1
Alejandro G. Inarritu,Naomi Watts,2
Alejandro G. Inarritu,Emma Stone,2
Alejandro G. Inarritu,Merritt Wever,2
Alexander Payne,Bruce Dern,3
Alexander Payne,Devin Ratray,3
Alexander Payne,Will Forte,3
Alfonso Cuaron,Daniel Gimenez Cacho,4
Alfonso Cuaron,Maribel Verdu,4
Alfonso Cuaron,Maria Aura,4
Alice Wu,Ato Essandoh,5
Alice Wu,Joan Chen,5
Alice Wu,Jessica Hecht,5
Andrew Adamson,Chris Miller,6
Andrew Adamson,Kathleen Freeman,6
Andrew Adamson,Bobby Block,6
Andrew Stanton,Stephen Root,6.2
Andrew Stanton,Alexander Gould,6.5
Andrew Stanton,Brad Garrett,6.8
Anna Muylaert,Regina Case,7.1
Anna Muylaert,Alex Huszar,7.4
Anna Muylaert,Luis Miranda,7.7
Bill Melendez,Bill Melendez,8
Bill Melendez,Peter Robbins,8.3
Bill Melendez,Christopher Shea,8.6
Billy Wilder,Ray Walston,8.9
Billy Wilder,Joe E. Brown,9.2
Billy Wilder,Fred MacMurray,9.5
Billy Wilder,Nehemiah Persoff,9.8
Billy Wilder,David White,10.1
Billy Wilder,George Raft,10.4
Bob Clark,Darren McGavin,10.7
Bob Clark,Zack Ward,11
Bob Clark,Scott Schwartz,11.3
Bob Fosse,Ben Vereen,11.6
Bob Fosse,Roy Scheider,11.9
Bob Fosse,Max Wright,12.2
Brad Bird,John Ratzenberger,12.5
Brad Bird,Harry Connick Jr.,12.8
Brad Bird,Janeane Garofalo,13.1
Brad Bird,Vin Diesel,13.4
Brad Bird,Brian Dennehy,13.7
Brad Bird,M. Emmet Walsh,14
Brian Henson,Jerry Nelson,14.3
Brian Henson,Steven Mackintosh,14.6
Brian Henson,Steve Whitmire,14.9
Cameron Crowe,Zooey Deschanel,15.2
Cameron Crowe,Philip Seymour Hoffman,15.5
Cameron Crowe,Michael Angarano,15.8
Charles Chaplin,Stanley Blystone,16.1
Charles Chaplin,Paulette Goddard,16.4
Charles Chaplin,Fred Malatesta,16.7
Chia-Liang Liu,Anita Mui,17
Chia-Liang Liu,Andy Lau,17.3
Chia-Liang Liu,Ho-Sung Pak,17.6
Chris Buck,Maurice LaMarche,17.9
Chris Buck,Josh Gad,18.2
Chris Buck,Livvy Stubenrauch,18.5
Chris Wedge,Stephen Root,18.8
Chris Wedge,Goran Visnjic,19.1
Chris Wedge,Denis Leary,19.4
Christopher Guest,Fred Willard,19.7
Christopher Guest,Catherine O'Hara,20
Christopher Guest,Larry Miller,20.3
David O. Russell,Robert De Niro,20.6
David O. Russell,Jennifer Lawrence,20.9
David O. Russell,Bradley Cooper,21.2
Dean DeBlois,Djimon Hounsou,21.5
Dean DeBlois,Gerard Butler,21.8
Dean DeBlois,America Ferrera,22.1
Denys Arcand,Stephane Rousseau,22.4
Denys Arcand,Marie-Josee Croze,22.7
Denys Arcand,Marina Hands,23
Don Hall,Daniel Henney,23.3
Don Hall,Damon Wayans Jr.,23.6
Don Hall,Abraham Benrubi,23.9
Edgar Wright,Joe Cornish,24.2
Edgar Wright,Dylan Moran,24.5
Edgar Wright,Bill Bailey,24.8
Edgar Wright,Peter Serafinowicz,25.1
Edgar Wright,Billie Whitelaw,25.4
Edgar Wright,Rafe Spall,25.7
Eli Craig,Tyler Labine,26
Eli Craig,Katrina Bowden,26.3
Eli Craig,Chelan Simmons,26.6
Eugenio Derbez,Jessica Lindsey,26.9
Eugenio Derbez,Eugenio Derbez,27.2
