source,target,value
Alex Gibney,George W. Bush,1
Alex Gibney,Alex Gibney,2
Alex Gibney,Greg D'Agostino,3
Andrew Davis,Daniel Roebuck,4
Andrew Davis,Harrison Ford,5
Andrew Davis,Sela Ward,6
Andrew Niccol,Jeremy Crutchley,7
Andrew Niccol,Nicolas Cage,8
Andrew Niccol,Jared Burke,9
Anthony Vallone,John Considine,10
Anthony Vallone,Richard Jewell,11
Anthony Vallone,Sara Stepnicka,12
Antoine Fuqua,Snoop Dogg,13
Antoine Fuqua,Denzel Washington,14
Antoine Fuqua,Tom Berenger,15
Ben Affleck,Jon Hamm,16
Ben Affleck,Jeremy Renner,17
Ben Affleck,Owen Burke,18
Brian De Palma,Billy Drago,19
Brian De Palma,F. Murray Abraham,20
Brian De Palma,Robert De Niro,21
Brian De Palma,Al Pacino,22
Brian De Palma,Charles Martin Smith,23
Brian De Palma,Mary Elizabeth Mastrantonio,24
Bryan Singer,Chazz Palminteri,25
Bryan Singer,Kevin Spacey,26
Bryan Singer,Kevin Pollak,27
Chan-wook Park,Yeong-ae Lee,28
Chan-wook Park,Min-sik Choi,29
Chan-wook Park,Hye-jeong Kang,30
Charles Ferguson,George W. Bush,31
Charles Ferguson,Matt Damon,32
Charles Ferguson,Barney Frank,33
Clint Eastwood,Michael Kelly,34
Clint Eastwood,Spencer Treat Clark,35
Clint Eastwood,Angelina Jolie Pitt,36
Clint Eastwood,John Doman,37
Clint Eastwood,Colm Feore,38
Clint Eastwood,Tom Guiry,39
Curtis Hanson,Matt McCoy,40
Curtis Hanson,Kevin Spacey,41
Curtis Hanson,Paul Guilfoyle,42
Dan Gilroy,Michael Papajohn,43
Dan Gilroy,Jake Gyllenhaal,44
Dan Gilroy,James Huang,45
David Ayer,Anna Kendrick,46
David Ayer,Jake Gyllenhaal,47
David Ayer,America Ferrera,48
David Cronenberg,Naomi Watts,49
David Cronenberg,Viggo Mortensen,50
David Cronenberg,Raza Jaffrey,51
David Fincher,Goran Visnjic,52
David Fincher,Jake Gyllenhaal,53
David Fincher,Sela Ward,54
David Fincher,Brad Pitt,55
David Fincher,Robin Wright,56
David Fincher,Robert Downey Jr.,57
David Fincher,Patrick Fugit,58
David Fincher,Morgan Freeman,59
David Fincher,Joely Richardson,60
David Fincher,Anthony Edwards,61
David Fincher,Emily Ratajkowski,62
David Fincher,Reg E. Cathey,63
Denis Villeneuve,Jake Gyllenhaal,64
Denis Villeneuve,Bernardo Saracino,65
Denis Villeneuve,Hugh Jackman,66
Denis Villeneuve,Edgar Arreola,67
Denis Villeneuve,Dylan Minnette,68
Denis Villeneuve,Daniel Kaluuya,69
Denys Arcand,Stéphane Rousseau,70
Denys Arcand,Marie-Josée Croze,71
Denys Arcand,Marina Hands,72
Don Siegel,Patrick McGoohan,73
Don Siegel,Clint Eastwood,74
Don Siegel,Fred Ward,75
Elia Kazan,Karl Malden,76
Elia Kazan,Marlon Brando,77
Elia Kazan,Rod Steiger,78
Ethan Coen,Stephen Root,79
Ethan Coen,Kelly Macdonald,80
Ethan Coen,Barry Corbin,81
F. Gary Gray,Neil Brown Jr.,82
F. Gary Gray,Aldis Hodge,83
F. Gary Gray,R. Marcos Taylor,84
Fabián Bielinsky,Gaston Pauls,85
Fabián Bielinsky,Ricardo Darín,86
Fabián Bielinsky,Leticia Brédice,87
Fernando Meirelles,Seu Jorge,88
Fernando Meirelles,Alice Braga,89
Fernando Meirelles,Alexandre Rodrigues,90
Francis Ford Coppola,Joe Mantegna,91
Francis Ford Coppola,Al Pacino,92
Francis Ford Coppola,Bridget Fonda,93
Frank Darabont,Jeffrey DeMunn,94
Frank Darabont,Tom Hanks,95
Frank Darabont,Michael Jeter,96
Frank Miller,Powers Boothe,97
Frank Miller,Rosario Dawson,98
Frank Miller,Jason Douglas,99
Gareth Evans,Yayan Ruhian,100
Gareth Evans,Iko Uwais,101
Gareth Evans,Donny Alamsyah,102
Georg Wilhelm Pabst,Francis Lederer,103
Georg Wilhelm Pabst,Louise Brooks,104
Georg Wilhelm Pabst,Fritz Kortner,105
George Roy Hill,Ted Cassidy,106
George Roy Hill,Robert Shaw,107
George Roy Hill,Katharine Ross,108
George Roy Hill,Eileen Brennan,109
George Roy Hill,Kenneth Mars,110
George Roy Hill,Ray Walston,111
Giuseppe Tornatore,Sean Buchanan,112
Giuseppe Tornatore,Jim Sturgess,113
Giuseppe Tornatore,Liya Kebede,114
Guy Ritchie,Eddie Marsan,115
Guy Ritchie,Brad Pitt,116
Guy Ritchie,Brad Pitt,117
Guy Ritchie,Jason Flemyng,118
Guy Ritchie,Robert Downey Jr.,119
Guy Ritchie,Jason Statham,120
Guy Ritchie,Jason Statham,121
Guy Ritchie,Jason Statham,122
Guy Ritchie,Robert Maillet,123
Guy Ritchie,Jason Flemyng,124
Guy Ritchie,Jason Flemyng,125
Guy Ritchie,Dexter Fletcher,126
Hao Ning,Zheng Xu,127
Hao Ning,Bo Huang,128
Hao Ning,Zhonghua Chen,129
James Foley,Al Pacino,130
James Foley,Kevin Spacey,131
James Foley,Jude Ciccolella,132
James Mangold,Logan Lerman,133
James Mangold,Christian Bale,134
James Mangold,Gretchen Mol,135
James Marsh,Philippe Petit,136
James Marsh,Paul McGill,137
James Marsh,Jean-Louis Blondeau,138
Jay Oliva,Mark Valley,139
Jay Oliva,Michael Emerson,140
Jay Oliva,Grey Griffin,141
Jean-Luc Godard,Anna Karina,142
Jean-Luc Godard,Jean-Paul Belmondo,143
Jean-Luc Godard,Graziella Galvani,144
