source,target,value
Alex Gibney,George W. Bush,1
Alex Gibney,Alex Gibney,2
Alex Gibney,Greg D'Agostino,3
Anthony Powell,Tom Hamann,4
Anthony Powell,Josh Swanson,5
Anthony Powell,Anthony Powell,6
Ari Folman,Ronny Dayag,7
Ari Folman,Ari Folman,8
Ari Folman,Zahava Solomon,9
Barry W. Blaustein,Vince McMahon,10
Barry W. Blaustein,Terry Funk,11
Barry W. Blaustein,Mick Foley,12
Cary Bell,Stacie Evans,13
Cary Bell,Abigail Evans,14
Cary Bell,Emily Gorell,15
Catherine Owens,The Edge,16
Catherine Owens,Bono,17
Catherine Owens,Larry Mullen Jr.,18
Charles Ferguson,George W. Bush,19
Charles Ferguson,Dick Cheney,20
Charles Ferguson,Matt Damon,21
Charles Ferguson,Campbell Scott,22
Charles Ferguson,Barney Frank,23
Charles Ferguson,Donald Rumsfeld,24
Chris Paine,Phyllis Diller,25
Chris Paine,Ed Begley Jr.,26
Chris Paine,Colette Divine,27
Dave Carroll,Chris 'Wonder' Schoeck,28
David Sington,Buzz Aldrin,29
David Sington,John F. Kennedy,30
David Sington,Neil Armstrong,31
Dror Moreh,Yuval Diskin,32
Dror Moreh,Ami Ayalon,33
Dror Moreh,Yaakov Peri,34
Henry Alex Rubin,Joe Bishop,35
Henry Alex Rubin,Mark Zupan,36
Henry Alex Rubin,Andy Cohn,37
Jacques Perrin,Jacques Perrin,38
Jacques Perrin,Philippe Labro,39
Jacques Perrin,Pedro Armendáriz Jr.,40
Jacques Perrin,Jacques Perrin,41
Jacques Perrin,Rie Miyazawa,42
James Marsh,Philippe Petit,43
James Marsh,Paul McGill,44
James Marsh,Jean-Louis Blondeau,45
Jason Miller,Dottie Alexander,46
Jason Miller,Jon Brion,47
Jason Miller,David Barnes,48
Jehane Noujaim,Ahmed Hassan,49
Jehane Noujaim,Khalid Abdalla,50
Jehane Noujaim,Aida Elkashef,51
Joe Cross,Joel Fuhrman,52
Joe Cross,Joe Cross,53
Joe Cross,Amy Badberg,54
Joe Kenemore,Jack Canfield,55
Joe Kenemore,Bob Proctor,56
Joe Kenemore,Eric Worre,57
Johanna Schwartz,Garba Toure,58
Johanna Schwartz,Aliou Toure,59
Johanna Schwartz,Khaira Arby,60
Joshua Oppenheimer,Herman Koto,61
Joshua Oppenheimer,Anwar Congo,62
Joshua Oppenheimer,Syamsul Arifin,63
Joshua Tickell,Sheryl Crow,64
Joshua Tickell,Larry David,65
Joshua Tickell,George W. Bush,66
Kevin Macdonald,Brendan Mackey,67
Kevin Macdonald,Nicholas Aaron,68
Kevin Macdonald,Joe Simpson,69
Kristin Rizzo,Robert Davi,70
Kristin Rizzo,Esai Morales,71
Kristin Rizzo,Elaine Hendrix,72
Larry Charles,Tal Bachman,73
Larry Charles,Bill Maher,74
Larry Charles,Steve Burg,75
Lauren Lazin,Gary Coleman,76
Lauren Lazin,James Cagney,77
Lauren Lazin,Todd Bridges,78
Lisanne Pajot,Edmund McMillen,79
Lisanne Pajot,Jonathan Blow,80
Lisanne Pajot,Phil Fish,81
Luc Jacquet,Sofie Grabol,82
Luc Jacquet,Morgan Freeman,83
Luc Jacquet,Romane Bohringer,84
Marius A. Markevicius,Greg Speirs,85
Marius A. Markevicius,Tommy Sheppard,86
Marius A. Markevicius,Mickey Hart,87
Martin Scorsese,Levon Helm,88
Martin Scorsese,Ringo Starr,89
Martin Scorsese,Bob Dylan,90
Michael Moore,Tucker Albrizzi,91
Michael Moore,Dick Clark,92
Michael Moore,Michael Moore,93
Michael Moore,Michael Moore,94
Michael Moore,Bill Clinton,95
Michael Moore,Bill Clinton,96
Michael Wadleigh,Jimi Hendrix,97
Michael Wadleigh,Joe Cocker,98
Michael Wadleigh,Joan Baez,99
Ricki Stern,Evelyn Jefferson,100
Ricki Stern,Darryl Hunt,101
Ricki Stern,John Reeves,102
Robert Greenwald,Katy Helvenston-Wettengal,103
Robert Greenwald,Scott Helvenston,104
Robert Greenwald,Donna Zovko,105
Robert Kenner,Eric Schlosser,106
Robert Kenner,Michael Pollan,107
Robert Kenner,Barbara Kowalcyk,108
Ron Fricke,Balinese Tari Legong Dancers,109
Ron Fricke,Collin Alfredo St. Dic,110
Ron Fricke,Puti Sri Candra Dewi,111
Sam Martin,Steve Duin,112
Sam Martin,Sam Adams,113
Sam Martin,Jeff Jacob,114
Stacy Peralta,Gabrielle Reece,115
Stacy Peralta,Jay Adams,116
Stacy Peralta,Gerry Lopez,117
Stacy Peralta,Tony Alva,118
Stacy Peralta,Laird John Hamilton,119
Stacy Peralta,Jeff Ament,120
Steve James,Arthur Agee,121
Steve James,William Gates,122
Steve James,Isiah Thomas,123
Sut Jhally,Seth Ackerman,124
Sut Jhally,Noam Chomsky,125
Sut Jhally,Arik Ascherman,126
Tony Kaye,Pat Buchanan,127
Tony Kaye,Noam Chomsky,128
Tony Kaye,Bill Baird,
