source,target,value
Adam McKay,Christian Bale,1
Akira Kurosawa,Minoru Chiaki,2
Alejandro Amenabar,Lola Duetas,3
Alejandro G. Inarritu,Tom Hardy,4
Alejandro G. Inarritu,Eddie Marsan,5
Alejandro G. Inarritu,Naomi Watts,6
Alejandro G. Inarritu,Jorge Salinas,7
Alex Garland,Sonoya Mizuno,8
Alex Proyas,Bai Ling,9
Alex Proyas,William Hurt,10
Alexander Payne,Bruce Dern,11
Alfonso Cuaron,Basher Savage,12
Alfonso Cuaron,Danny Huston,13
Alfonso Cuaron,Daniel Gimenez Cacho,14
Alfred Hitchcock,Joan Fontaine,15
Alice Wu,Ato Essandoh,16
Andrei Tarkovsky,Anatoliy Solonitsyn,17
Andrew Davis,Daniel Roebuck,18
Andrew Haigh,Chris New,19
Andrew Niccol,Jeremy Crutchley,20
Andrew Niccol,Xander Berkeley,21
Andrey Zvyagintsev,Vladimir Garin,22
Ang Lee,Rafe Spall,23
Ang Lee,Kate Winslet,24
Ang Lee,Pei-Pei Cheng,25
Ang Lee,Heath Ledger,26
Anna Muylaert,Regina Casé,27
Anthony Powell,Tom Hamann,28
Anthony Vallone,John Considine,29
Antoine Fuqua,Snoop Dogg,30
Anton Corbijn,Samantha Morton,31
Ari Folman,Ronny Dayag,32
Asghar Farhadi,Leila Hatami,33
Atom Egoyan,Sarah Polley,34
Barry Levinson,Valeria Golino,35
Baz Luhrmann,Kylie Minogue,36
Ben Affleck,Scoot McNairy,37
Ben Affleck,Jon Hamm,38
Bennett Miller,Robin Wright,39
Bernardo Bertolucci,Joan Chen,40
Bernardo Bertolucci,Stefania Sandrelli,41
Billy Bob Thornton,Dwight Yoakam,42
Billy Wilder,Ray Walston,43
Billy Wilder,Jane Wyman,44
Boaz Yakin,Denzel Washington,45
Bob Fosse,Ben Vereen,46
Brad Anderson,Jennifer Jason Leigh,47
Brad Bird,Harry Connick Jr.,48
Brian De Palma,Billy Drago,49
Brian De Palma,F. Murray Abraham,50
Brian Henson,Jerry Nelson,51
Brian Percival,Sophie Nélisse,52
Bruce Beresford,Lucy Fry,53
Bryan Singer,Chazz Palminteri,54
Cameron Crowe,Zooey Deschanel,55
Carl Theodor Dreyer,Sylvia Eckhausen,56
Caroline Link,Juliane Köhler,57
Chan-wook Park,Yeong-ae Lee,58
Chan-wook Park,Ji-tae Yu,59
Charles Binamé,Roy Dupuis,60
Charles Chaplin,Stanley Blystone,61
Christian Carion,Dany Boon,62
Christophe Barratier,François Berléand,63
Christopher Nolan,Anne Hathaway,64
Christopher Nolan,Hugh Jackman,65
Chuan Lu,Yuanyuan Gao,66
Clint Eastwood,Michael Kelly,67
Clint Eastwood,Spencer Treat Clark,68
Clint Eastwood,Morgan Freeman,69
Clint Eastwood,Dreama Walker,70
Clint Eastwood,Morgan Freeman,71
Clint Eastwood,Kazunari Ninomiya,72
Cristian Mungiu,Vlad Ivanov,73
Curtis Hanson,Matt McCoy,74
D.W. Griffith,Mae Marsh,75
Damien Chazelle,Melissa Benoist,76
Dan Gilroy,Michael Papajohn,77
Danny Boyle,Treat Williams,78
Danny Boyle,Saurabh Shukla,79
Danny Boyle,Megan Burns,80
Danny Boyle,Shirley Henderson,81
Darren Aronofsky,Mila Kunis,82
Darren Aronofsky,John D'Leo,83
Darren Aronofsky,Mark Margolis,84
David Ayer,Logan Lerman,85
David Ayer,Anna Kendrick,86
David Fincher,Jason Flemyng,87
David Fincher,Goran Visnjic,88
David Fincher,Jake Gyllenhaal,89
David Fincher,Meat Loaf,90
David Fincher,Sela Ward,91
David Fincher,Armin Mueller-Stahl,92
David Fincher,Dustin Fitzsimons,93
David Fincher,Brad Pitt,94
David Lean,José Ferrer,95
David Lean,Klaus Kinski,96
David Lean,Sessue Hayakawa,97
David Lynch,Robert Forster,98
David Lynch,Richard Farnsworth,99
David Lynch,Anne Bancroft,100
David O. Russell,Robert De Niro,101
David O. Russell,Jack McGee,102
Deepa Mehta,Gulshan Grover,103
Deepa Mehta,Lisa Ray,104
Denis Villeneuve,Jake Gyllenhaal,105
Denis Villeneuve,Bernardo Saracino,106
Denis Villeneuve,Mélissa Désormeaux-Poulin,107
Dennis Gansel,Elyas M'Barek,108
Denys Arcand,Stéphane Rousseau,109
Denzel Washington,Jurnee Smollett-Bell,110
Don Hall,Daniel Henney,111
Don Siegel,Patrick McGoohan,112
Duncan Jones,Matt Berry,113
Edward Zwick,Tony Goldwyn,114
Edward Zwick,Djimon Hounsou,115
Edward Zwick,Morgan Freeman,116
Edward Zwick,Morgan Freeman,117
Elia Kazan,Karl Malden,118
Elia Kazan,Karl Malden,119
Ethan Coen,Jeff Bridges,120
Ethan Coen,Stephen Root,121
Eugenio Derbez,Jessica Lindsey,122
F. Gary Gray,Neil Brown Jr.,123
Fabián Bielinsky,Gaston Pauls,124
Fernando Leon de Aranoa,Enrique Villén,125
Fernando Meirelles,Seu Jorge,126
Florian Henckel von Donnersmarck,Ulrich Mühe,127
François Girard,Clotilde Mollet,128
Francis Ford Coppola,Joe Mantegna,129
Francis Ford Coppola,Marlon Brando,130
Francis Ford Coppola,Teri Garr,131
Frank Capra,Lionel Barrymore,132
Frank Capra,Ann Miller,133
Frank Capra,Jean Arthur,134
Frank Darabont,Jeffrey DeMunn,135
Frank Lotito,Jake Busey,136
Franklin J. Schaffner,Karl Malden,137
Fred Zinnemann,Susannah York,138
Fred Zinnemann,Peter Finch,139
Fred Zinnemann,Donna Reed,140
Fritz Lang,Gustav Fröhlich,141
Gabriele Muccino,Kurt Fuller,142
Gabriele Muccino,Rosario Dawson,143
Gavin O'Connor,Frank Grillo,144
Georg Wilhelm Pabst,Francis Lederer,145
George A. Romero,Duane Jones,146
George A. Romero,Duane Jones,147
George Cukor,Rex Harrison,148
George P. Cosmatos,Dana Delany,149
George Roy Hill,Ted Cassidy,150
George Roy Hill,Robert Shaw,151
Giuseppe Tornatore,Sean Buchanan,152
Guillermo del Toro,Maribel Verdú,153
Gus Van Sant,Denis O'Hare,154
Gus Van Sant,Matt Damon,155
Hideaki Anno,Shin'ya Tsukamoto,156
Hideaki Anno,Shin'ya Tsukamoto,157
Howard Hughes,Marian Marsh,158
Ingmar Bergman,Ingrid Thulin,159
Isabel Coixet,Julian Richings,160
J.A. Bayona,Geraldine Chaplin,161
Jacques Perrin,Jacques Perrin,162
Jaime Zevallos,Jaime Zevallos,163
James Cameron,Kate Winslet,164
James Cameron,Todd Graff,165
James Foley,Al Pacino,166
James Ivory,Peter Vaughan,167
James Ivory,Denholm Elliott,168
James L. Brooks,Yeardley Smith,169
James Mangold,Logan Lerman,170
James Mangold,Dallas Roberts,171
James Marsh,Emily Watson,172
James McTeigue,Eddie Marsan,173
James Schamus,Sarah Gadon,174
Jane Campion,Ian Mune,175
Jason Reitman,Cameron Bright,176
Jean-Jacques Annaud,Gabriel Thomson,177
Jean-Luc Godard,Anna Karina,178
Jean-Marc Vallée,Jennifer Garner,179
Jean-Pierre Jeunet,André Dussollier,180
Jehane Noujaim,Ahmed Hassan,181
Je-kyu Kang,Bin Won,182
Jerome Robbins,George Chakiris,183
Jessie Nelson,Loretta Devine,184
Joe Wright,Alfie Allen,185
Joe Wright,Brenda Blethyn,186
John Cameron Mitchell,Miriam Shor,187
John Carney,Markéta Irglová,188
John Cromwell,Mary Astor,189
John Ford,Woody Strode,190
John Ford,Walter Pidgeon,191
John G. Avildsen,Burgess Meredith,192
John Lee Hancock,Quinton Aaron,193
John Sayles,Clifton James,194
John Schlesinger,Barnard Hughes,195
John Singleton,Lloyd Avery II,196
John Sturges,Donald Pleasence,197
Jon Favreau,Bill Murray,198
Jon Favreau,Bill Murray,199
Jonathan Dayton,Steven Christopher Parker,200
Jonathan Demme,Scott Glenn,201
Jonathan Demme,Tom Hanks,202
Jonathan Frakes,Alfre Woodard,203
Jonathan Levine,Anna Kendrick,204
Jorge Ramírez Suárez,Adriana Barraza,205
José Padilha,Fernanda Machado,206
Josh Boone,Sam Trammell,207
Juan José Campanella,Soledad Villamil,208
Julian Schnabel,Mathieu Amalric,209
Karan Johar,Jimmy Shergill,210
Kathryn Bigelow,Christian Camargo,211
Kay Pollak,Frida Hallgren,212
Ken Annakin,Richard Beymer,213
Kenneth Branagh,Brian Blessed,214
Kenneth Branagh,Derek Jacobi,215
Kenneth Branagh,Brian Blessed,216
Kenneth Lonergan,Rory Culkin,217
Kevin Costner,Michael Spears,218
Kevin Macdonald,Simon McBurney,219
Kevin Macdonald,Brendan Mackey,220
Kevin Reynolds,James Frain,221
Kimberly Peirce,Brendan Sexton III,222
King Vidor,Renée Adorée,223
Lance McDaniel,Steven Michael Quezada,224
Lars von Trier,Udo Kier,225
Lasse Hallström,Sarah Roemer,226
Lasse Hallström,Leonardo DiCaprio,227
Lenny Abrahamson,Jacob Tremblay,228
Lukas Moodysson,Artyom Bogucharskiy,229
M. Night Shyamalan,Haley Joel Osment,230
Majid Majidi,Amir Farrokh Hashemian,231
Marc Forster,Christian Stolte,232
Marc Forster,Kate Winslet,233
Marc Forster,Shaun Toub,234
Marc Webb,Chloë Grace Moretz,235
Mark Herman,Sheila Hancock,236
Mark Osborne,James Franco,237
Martin McDonagh,Anna Madeley,238
Martin Ritt,Melvyn Douglas,239
Martin Scorsese,Matthew McConaughey,240
Martin Scorsese,Matt Damon,241
Martin Scorsese,Don Rickles,242
Martin Scorsese,Mike Starr,243
Martin Scorsese,Cathy Moriarty,244
Martin Scorsese,Barbara Hershey,245
Martin Scorsese,Albert Brooks,246
Mary Harron,Justin Theroux,247
Matt Reeves,Judy Greer,248
Mel Gibson,Patrick McGoohan,249
Mel Gibson,Dalia Hernández,250
Michael Cimino,Meryl Streep,251
Michael Curtiz,Claude Rains,252
Michael Haneke,Burghart Klaußner,253
Michael Haneke,Emmanuelle Riva,254
Michael Mann,Rip Torn,255
Michael Mann,Jada Pinkett Smith,256
Michael Mann,Terry Kinney,257
Michael McGowan,Adam Butcher,258
Michael Moore,Tucker Albrizzi,259
Michael Moore,Dick Clark,260
Michael Roemer,Gloria Foster,261
Michel Gondry,Kirsten Dunst,262
Michel Hazanavicius,Ed Lauter,263
Mike Figgis,Valeria Golino,264
Mike Leigh,Sally Hawkins,265
Mike Leigh,Ruth Sheen,266
Mike Newell,Al Pacino,267
Mike van Diem,Fedja van Huêt,268
Milos Forman,F. Murray Abraham,269
Milos Forman,Michael Berryman,270
Mira Nair,Brooke Smith,271
Morten Tyldum,Rory Kinnear,272
Morten Tyldum,Synnøve Macody Lund,273
Moustapha Akkad,Rod Steiger,274
Neil Burger,Eddie Marsan,275
Neil Burger,Eddie Marsan,276
Neil Jordan,Tom Cruise,277
Nick Cassavetes,Kevin Connolly,278
Nicolas Winding Refn,Albert Brooks,279
Niki Caro,Rawiri Paratene,280
Norman Jewison,Vincent Pastore,281
Norman Jewison,Paul Michael Glaser,282
Oliver Hirschbiegel,Bruno Ganz,283
Oliver Stone,Jay O. Sanders,284
Oliver Stone,Tom Berenger,285
Orson Welles,Everett Sloane,286
Paolo Sorrentino,Sabrina Ferilli,287
Paul Greengrass,Chris Mulkey,288
Paul Greengrass,David Alan Basche,289
Paul Greengrass,Nicholas Farrell,290
Paul Haggis,Loretta Devine,291
Paul Haggis,Loretta Devine,292
Paul McGuigan,Morgan Freeman,293
Paul McGuigan,Morgan Freeman,294
Paul Thomas Anderson,Neil Flynn,295
Paul Thomas Anderson,Paul F. Tompkins,296
Paul Thomas Anderson,Nicole Ari Parker,297
Paul Verhoeven,Sebastian Koch,298
Pedro Almod�var,Lola Due�as,299
Pete Docter,Mindy Kaling,300
Peter Berg,Scott Elrod,301
Peter H. Hunt,Ken Howard,302
Peter Jackson,Orlando Bloom,303
Peter Jackson,Orlando Bloom,304
Peter Weir,Noah Emmerich,305
Peter Weir,Josh Charles,306
Petter Næss,Per Christian Ellefsen,307
Philip Kaufman,Scott Glenn,308
Philip Saville,Alan Van Sprang,309
Quentin Tarantino,Christoph Waltz,310
Quentin Tarantino,Brad Pitt,311
Quentin Tarantino,Jennifer Jason Leigh,312
Quentin Tarantino,Michael Parks,313
Quentin Tarantino,Steve Buscemi,314
Raja Menon,Sameer Ali Khan,315
Rajkumar Hirani,Sanjay Dutt,316
Rakeysh Omprakash Mehra,Steven Mackintosh,317
Ralph Ziman,Kenneth Nkosi,318
Richard Attenborough,Amrish Puri,319
Richard Brooks,Robert Blake,320
Richard Brooks,Judith Anderson,321
Richard Brooks,Jean Simmons,322
Richard Curtis,Liam Neeson,323
Richard Curtis,Tom Hollander,324
Richard Kelly,Mary McDonnell,325
Richard Linklater,Lorelei Linklater,326
Richard Linklater,Ariane Labed,327
Richard Linklater,Hans Weingartner,328
Richard Linklater,Albert Delpy,329
Richard Schenkman,John Billingsley,330
Ridley Scott,Donald Glover,331
Ridley Scott,Connie Nielsen,332
Ridley Scott,Ruby Dee,333
Ridley Scott,Sam Shepard,334
Ritesh Batra,Nimrat Kaur,335
Rob Reiner,Demi Moore,336
Rob Reiner,Gretchen Palmer,337
Rob Reiner,Rebecca De Mornay,338
Rob Reiner,Frances Lee McCain,339
Robert Mulligan,Brock Peters,340
Robert Redford,Elizabeth McGovern,341
Robert Rossen,Jackie Gleason,342
Robert Wise,Angela Cartwright,343
Robert Zemeckis,Paul Sanchez,344
Robert Zemeckis,Siobhan Fallon Hogan,345
Roger Allers,Nathan Lane,346
Roger Donaldson,Antony Starr,347
Roman Polanski,Frank Finlay,348
Roman Polanski,Mia Farrow,349
Ron Howard,Bruce McGill,350
Ron Howard,Austin Pendleton,351
Ron Howard,Miko Hughes,352
Ron Howard,Olivia Wilde,353
Ron Howard,Clint Howard,354
Ron Maxwell,William Morgan Sheppard,355
Rupert Wyatt,David Oyelowo,356
Ryan Coogler,Phylicia Rashad,357
S.S. Rajamouli,Anushka Shetty,358
Sadyk Sher-Niyaz,Aziz Muradillayev,359
Sam Mendes,Jennifer Jason Leigh,360
Sam Mendes,Peter Gallagher,361
Scott Hicks,Armin Mueller-Stahl,362
Scott Smith,Daphne Zuniga,363
Sean Penn,William Hurt,364
Sergio Leone,Burt Young,365
Sergio Leone,Gian Maria Volontè,366
Shane Meadows,Paddy Considine,367
Shane Meadows,Joseph Gilgun,368
Shane Meadows,Gary Stretch,369
Sharon Greytak,Alex Emanuel,370
Shona Auerbach,Sharon Small,371
Sidney Lumet,James Mason,372
Sidney Lumet,Faye Dunaway,373
Sofia Coppola,Bill Murray,374
Spike Jonze,Brian Johnson,375
Spike Jonze,Meryl Streep,376
Spike Jonze,Orson Bean,377
Spike Lee,James Ransone,378
Spike Lee,Delroy Lindo,379
Spike Lee,John Savage,380
Spike Lee,Rosario Dawson,381
Stéphane Aubier,Megan Mullally,382
Stanley Kramer,Montgomery Clift,383
Stanley Kubrick,Shelley Winters,384
Stanley Kubrick,Shelley Duvall,385
Stanley Kubrick,Steven Berkoff,386
Stanley Kubrick,Shelley Winters,387
Stephen Chbosky,Ezra Miller,388
Stephen Daldry,David Kross,389
Stephen Daldry,Stephen Dillane,390
Stephen Daldry,Gary Lewis,391
Stephen Frears,Peter Capaldi,392
Stephen Frears,Lili Taylor,393
Stephen Frears,Peter Capaldi,394
Stephen Frears,Mare Winningham,395
Steve James,Arthur Agee,396
Steve McQueen,Scoot McNairy,397
Steven Soderbergh,Jacob Vargas,398
Steven Spielberg,Moritz Bleibtreu,399
Steven Spielberg,Vin Diesel,400
Steven Spielberg,Tom Hanks,401
Steven Spielberg,Mark Rylance,402
Steven Spielberg,Teri Garr,403
Steven Spielberg,Rae Dawn Chong,404
Steven Spielberg,Robert Shaw,405
Sylvain Chomet,Charles Linton,406
Tate Taylor,Bryce Dallas Howard,407
Taylor Hackford,Curtis Armstrong,408
Taylor Hackford,Jesse Borrego,409
Ted Demme,Ethan Suplee,410
Ted Kotcheff,Brian Dennehy,411
Ted Kotcheff,Brian Dennehy,412
Terrence Malick,Miranda Otto,413
Terrence Malick,Stuart Margolin,414
Terry George,Sophie Okonedo,415
Terry Gilliam,David Hyde Pierce,416
Terry Gilliam,Michael Jeter,417
Terry Gilliam,Bob Hoskins,418
Thea Sharrock,Emilia Clarke,419
Thomas Vinterberg,Alexandra Rapaport,420
Thomas Vinterberg,Paprika Steen,421
Tim Burton,Alison Lohman,422
Tim Burton,Bill Murray,423
Tim McCanlies,Robert Duvall,424
Tim Robbins,Celia Weston,425
Todd Field,Noah Emmerich,426
Todd Solondz,Jon Lovitz,427
Tom Ford,Teddy Sears,428
Tom Hooper,Eddie Redmayne,429
Tom Hooper,Jennifer Ehle,430
Tom Hooper,Mark Bazeley,431
Tom McCarthy,Jamey Sheridan,432
Tom McCarthy,Joe Lo Truglio,433
Tom Tykwer,Ludger Pistor,434
Tony Kaye,Beverly D'Angelo,435
Tony Scott,Radha Mitchell,436
Tony Scott,Gary Oldman,437
Vadim Perelman,Kim Dickens,438
Victor Fleming,George Reeves,439
Vincent Paronnaud,Gena Rowlands,440
Walter Salles,Matheus Nachtergaele,441
Wes Anderson,Tom Wilkinson,442
Wes Anderson,Anjelica Huston,443
Wes Anderson,Bill Murray,444
Wes Anderson,Connie Nielsen,445
William Friedkin,Joe Spinell,446
William Friedkin,Fernando Rey,447
William Friedkin,Fernando Rey,448
William Wyler,Teresa Wright,449
Wolfgang Becker,Chulpan Khamatova,450
Wolfgang Petersen,Martin Semmelrogge,451
Woody Allen,Mark Gatiss,452
Yash Chopra,Preity Zinta,453
Yimou Zhang,Ni Ni,454
Yimou Zhang,Andy Lau,455
Zach Braff,Michael Weston,456
Zack Snyder,Billy Crudup,457
Zack Snyder,Michael Fassbender,458
Adam McKay,Ryan Gosling,459
Akira Kurosawa,Takashi Shimura,460
Alejandro Amenabar,Belen Rueda,461
Alejandro G. Inarritu,Leonardo DiCaprio,462
Alejandro G. Inarritu,Naomi Watts,463
Alejandro G. Inarritu,Emma Stone,464
Alejandro G. Inarritu,Adriana Barraza,465
Alex Garland,Elina Alminas,466
Alex Proyas,Michael Wincott,467
Alex Proyas,Rufus Sewell,468
Alexander Payne,Devin Ratray,469
Alfonso Cuaron,Phaldut Sharma,470
Alfonso Cuaron,Charlie Hunnam,471
Alfonso Cuaron,Maribel Verdu,472
Alfred Hitchcock,Laurence Olivier,473
Alice Wu,Joan Chen,474
Andrei Tarkovsky,Donatas Banionis,475
Andrew Davis,Harrison Ford,476
Andrew Haigh,Tom Cullen,477
Andrew Niccol,Nicolas Cage,478
Andrew Niccol,Blair Underwood,479
Andrey Zvyagintsev,Konstantin Lavronenko,480
Ang Lee,Suraj Sharma,481
Ang Lee,Alan Rickman,482
Ang Lee,Chen Chang,483
Ang Lee,Jake Gyllenhaal,484
Anna Muylaert,Alex Huszar,485
Anthony Powell,Josh Swanson,486
Anthony Vallone,Richard Jewell,487
Antoine Fuqua,Denzel Washington,488
Anton Corbijn,Sam Riley,489
Ari Folman,Ari Folman,490
Asghar Farhadi,Shahab Hosseini,491
Atom Egoyan,Bruce Greenwood,492
Barry Levinson,Tom Cruise,493
Baz Luhrmann,Jim Broadbent,494
Ben Affleck,Clea DuVall,495
Ben Affleck,Jeremy Renner,496
Bennett Miller,Philip Seymour Hoffman,497
Bernardo Bertolucci,Cary-Hiroyuki Tagawa,498
Bernardo Bertolucci,Jean-Louis Trintignant,499
Billy Bob Thornton,Robert Duvall,500
Billy Wilder,Fred MacMurray,501
Billy Wilder,Ray Milland,502
Boaz Yakin,Ryan Gosling,503
Bob Fosse,Roy Scheider,504
Brad Anderson,Christian Bale,505
Brad Bird,Vin Diesel,506
Brian De Palma,Robert De Niro,507
Brian De Palma,Al Pacino,508
Brian Henson,Steven Mackintosh,509
Brian Percival,Emily Watson,510
Bruce Beresford,Mckenna Grace,511
Bryan Singer,Kevin Spacey,512
Cameron Crowe,Philip Seymour Hoffman,513
Carl Theodor Dreyer,Hanne Aagesen,514
Caroline Link,Merab Ninidze,515
Chan-wook Park,Min-sik Choi,516
Chan-wook Park,Min-sik Choi,517
Charles Binamé,Stephen McHattie,518
Charles Chaplin,Paulette Goddard,519
Christian Carion,Gary Lewis,520
Christophe Barratier,Jean-Baptiste Maunier,521
Christopher Nolan,Matthew McConaughey,522
Christopher Nolan,Christian Bale,523
Chuan Lu,Ye Liu,524
Clint Eastwood,Angelina Jolie Pitt,525
Clint Eastwood,John Doman,526
Clint Eastwood,Clint Eastwood,527
Clint Eastwood,Clint Eastwood,528
Clint Eastwood,Clint Eastwood,529
Clint Eastwood,Yuki Matsuzaki,530
Cristian Mungiu,Anamaria Marinca,531
Curtis Hanson,Kevin Spacey,532
D.W. Griffith,Lillian Gish,533
Damien Chazelle,J.K. Simmons,534
Dan Gilroy,Jake Gyllenhaal,535
Danny Boyle,James Franco,536
Danny Boyle,Anil Kapoor,537
Danny Boyle,Noah Huntley,538
Danny Boyle,Kelly Macdonald,539
Darren Aronofsky,Natalie Portman,540
Darren Aronofsky,Mark Margolis,541
Darren Aronofsky,Ellen Burstyn,542
David Ayer,Brad Pitt,543
David Ayer,Jake Gyllenhaal,544
David Fincher,Brad Pitt,545
David Fincher,Robin Wright,546
David Fincher,Robert Downey Jr.,547
David Fincher,Brad Pitt,548
David Fincher,Patrick Fugit,549
David Fincher,Deborah Kara Unger,550
David Fincher,Andrew Garfield,551
David Fincher,Morgan Freeman,552
David Lean,Claude Rains,553
David Lean,Julie Christie,554
David Lean,William Holden,555
David Lynch,Naomi Watts,556
David Lynch,Sissy Spacek,557
David Lynch,Anthony Hopkins,558
David O. Russell,Jennifer Lawrence,559
David O. Russell,Christian Bale,560
Deepa Mehta,Nandita Das,561
Deepa Mehta,John Abraham,562
Denis Villeneuve,Hugh Jackman,563
Denis Villeneuve,Edgar Arreola,564
Denis Villeneuve,Lubna Azabal,565
Dennis Gansel,Max Riemelt,566
Denys Arcand,Marie-Josée Croze,567
Denzel Washington,Denzel Washington,568
Don Hall,Damon Wayans Jr.,569
Don Siegel,Clint Eastwood,570
Duncan Jones,Kevin Spacey,571
Edward Zwick,Tom Cruise,572
Edward Zwick,Leonardo DiCaprio,573
Edward Zwick,Denzel Washington,574
Edward Zwick,Denzel Washington,575
Elia Kazan,Marlon Brando,576
Elia Kazan,Marlon Brando,577
Ethan Coen,Matt Damon,578
Ethan Coen,Kelly Macdonald,579
Eugenio Derbez,Eugenio Derbez,580
F. Gary Gray,Aldis Hodge,581
Fabián Bielinsky,Ricardo Darín,582
Fernando Leon de Aranoa,Luis Tosar,583
Fernando Meirelles,Alice Braga,584
Florian Henckel von Donnersmarck,Sebastian Koch,585
François Girard,Johannes Silberschneider,586
Francis Ford Coppola,Al Pacino,587
Francis Ford Coppola,Harrison Ford,588
Francis Ford Coppola,Harrison Ford,589
Frank Capra,Donna Reed,590
Frank Capra,Jean Arthur,591
Frank Capra,Claude Rains,592
Frank Darabont,Tom Hanks,593
Frank Lotito,Brighton Sharbino,594
Franklin J. Schaffner,George C. Scott,595
Fred Zinnemann,Robert Shaw,596
Fred Zinnemann,Colleen Dewhurst,597
Fred Zinnemann,Montgomery Clift,598
Fritz Lang,Brigitte Helm,599
Gabriele Muccino,Will Smith,600
Gabriele Muccino,Will Smith,601
Gavin O'Connor,Tom Hardy,602
Georg Wilhelm Pabst,Louise Brooks,603
George A. Romero,Judith O'Dea,604
George A. Romero,Judith O'Dea,605
George Cukor,Jeremy Brett,606
George P. Cosmatos,Michael Biehn,607
George Roy Hill,Katharine Ross,608
George Roy Hill,Eileen Brennan,609
Giuseppe Tornatore,Jim Sturgess,610
Guillermo del Toro,Ivana Baquero,611
Gus Van Sant,James Franco,612
Gus Van Sant,Robin Williams,613
Hideaki Anno,Mark Chinnery,614
Hideaki Anno,Mark Chinnery,615
Howard Hughes,Jean Harlow,616
Ingmar Bergman,Liv Ullmann,617
Isabel Coixet,Sarah Polley,618
J.A. Bayona,Naomi Watts,619
Jacques Perrin,Pedro Armendáriz Jr.,620
Jaime Zevallos,Angela Sarafyan,621
James Cameron,Leonardo DiCaprio,622
James Cameron,Michael Biehn,623
James Foley,Kevin Spacey,624
James Ivory,Anthony Hopkins,625
James Ivory,Rupert Graves,626
James L. Brooks,Lupe Ontiveros,627
James Mangold,Christian Bale,628
James Mangold,Sandra Ellis Lafferty,629
James Marsh,Eddie Redmayne,630
James McTeigue,Natalie Portman,631
James Schamus,Logan Lerman,632
Jane Campion,Holly Hunter,633
Jason Reitman,J.K. Simmons,634
Jean-Jacques Annaud,Bob Hoskins,635
Jean-Luc Godard,Jean-Paul Belmondo,636
