source,target,value
Alfonso Cuaron,Gary Oldman,1
Alfonso Cuaron,Daniel Radcliffe,2
Alfonso Cuaron,Rupert Grint,3
Andrew Adamson,Chris Miller,4
Andrew Adamson,Kathleen Freeman,5
Andrew Adamson,Bobby Block,6
Andrew Stanton,Fred Willard,7
Andrew Stanton,Stephen Root,8
Andrew Stanton,John Ratzenberger,9
Andrew Stanton,Alexander Gould,10
Andrew Stanton,Jeff Garlin,11
Andrew Stanton,Brad Garrett,12
Bill Melendez,Bill Melendez,13
Bill Melendez,Peter Robbins,14
Bill Melendez,Christopher Shea,15
Bob Clark,Darren McGavin,16
Bob Clark,Zack Ward,17
Bob Clark,Scott Schwartz,18
Brad Bird,John Ratzenberger,19
Brad Bird,Craig T. Nelson,20
Brad Bird,Harry Connick Jr.,21
Brad Bird,Janeane Garofalo,22
Brad Bird,Holly Hunter,23
Brad Bird,Vin Diesel,24
Brad Bird,Brian Dennehy,25
Brad Bird,Lou Romano,26
Brad Bird,M. Emmet Walsh,27
Brian Henson,Jerry Nelson,28
Brian Henson,Steven Mackintosh,29
Brian Henson,Steve Whitmire,30
Charles Chaplin,Stanley Blystone,31
Charles Chaplin,Paulette Goddard,32
Charles Chaplin,Fred Malatesta,33
Chris Buck,Maurice LaMarche,34
Chris Buck,Josh Gad,35
Chris Buck,Livvy Stubenrauch,36
Chris Wedge,Stephen Root,37
Chris Wedge,Goran Visnjic,38
Chris Wedge,Denis Leary,39
Dean DeBlois,America Ferrera,40
Dean DeBlois,Djimon Hounsou,41
Dean DeBlois,Gerard Butler,42
Dean DeBlois,Gerard Butler,43
Dean DeBlois,Craig Ferguson,44
Dean DeBlois,America Ferrera,45
Don Hall,Daniel Henney,46
Don Hall,Damon Wayans Jr.,47
Don Hall,Abraham Benrubi,48
Frank Capra,Lionel Barrymore,49
Frank Capra,Donna Reed,50
Frank Capra,Thomas Mitchell,51
Frank Lotito,Jake Busey,52
Frank Lotito,Brighton Sharbino,53
Frank Lotito,Tim Guinee,54
George Cukor,Rex Harrison,55
George Cukor,Jeremy Brett,56
George Cukor,Theodore Bikel,57
Hayao Miyazaki,Yuki Amami,58
Hayao Miyazaki,Blythe Danner,59
Hayao Miyazaki,Ryonosuke Kamiki,60
Hayao Miyazaki,Rumi Hiiragi,61
Hayao Miyazaki,Christian Bale,62
Hayao Miyazaki,Bunta Sugawara,63
Hayao Miyazaki,Yuria Nara,64
Hayao Miyazaki,Jean Simmons,65
Hayao Miyazaki,Miyu Irino,66
Henry Selick,Dawn French,67
Henry Selick,Jennifer Saunders,68
Henry Selick,John Hodgman,69
James Algar,Deems Taylor,70
James Algar,Leopold Stokowski,71
James Algar,,72
James Frawley,Jim Henson,73
James Frawley,Madeline Kahn,74
James Frawley,Dom DeLuise,75
John Ford,Walter Pidgeon,76
John Ford,Roddy McDowall,77
John Ford,Barry Fitzgerald,78
John Lasseter,John Ratzenberger,79
John Lasseter,John Ratzenberger,80
John Lasseter,Tom Hanks,81
John Lasseter,Tom Hanks,82
John Lasseter,Wayne Knight,83
John Lasseter,Jim Varney,84
Jon Favreau,Bill Murray,85
Jon Favreau,Bill Murray,86
Jon Favreau,Scarlett Johansson,87
Jon Favreau,Scarlett Johansson,88
Jon Favreau,Garry Shandling,89
Jon Favreau,Garry Shandling,90
Lasse Hallstrom,Sarah Roemer,91
Lasse Hallstrom,Cary-Hiroyuki Tagawa,92
Lasse Hallstrom,Joan Allen,93
Lee Unkrich,John Ratzenberger,94
Lee Unkrich,Tom Hanks,95
Lee Unkrich,Don Rickles,96
Majid Majidi,Amir Farrokh Hashemian,97
Majid Majidi,Bahare Seddiqi,98
Majid Majidi,Mohammad Amir Naji,99
Marc Forster,Kate Winslet,100
Marc Forster,Johnny Depp,101
Marc Forster,Kelly Macdonald,102
Mark Osborne,Wayne Knight,103
Mark Osborne,James Franco,104
Mark Osborne,Angelina Jolie Pitt,105
Mark Osborne,Jeff Bridges,106
Mark Osborne,Dan Fogler,107
