source,target,value
Alejandro Amenabar,Elaine Cassidy,1
Alejandro Amenabar,Fionnula Flanagan,2
Alejandro Amenabar,Eric Sykes,3
Alex Proyas,Bai Ling,4
Alex Proyas,William Hurt,5
Alex Proyas,Michael Wincott,6
Alex Proyas,Rufus Sewell,7
Alex Proyas,David Patrick Kelly,8
Alex Proyas,Bruce Spence,9
Alfonso Cuaron,Gary Oldman,10
Alfonso Cuaron,Daniel Radcliffe,11
Alfonso Cuaron,Rupert Grint,12
Andrew Adamson,Chris Miller,13
Andrew Adamson,Kathleen Freeman,14
Andrew Adamson,Bobby Block,15
Ang Lee,Rafe Spall,16
Ang Lee,Suraj Sharma,17
Ang Lee,Tabu,18
Brad Bird,John Ratzenberger,19
Brad Bird,Janeane Garofalo,20
Brad Bird,Brian Dennehy,21
Brian Henson,Jerry Nelson,22
Brian Henson,Steven Mackintosh,23
Brian Henson,Steve Whitmire,24
Bryan Singer,Peter Dinklage,25
Bryan Singer,Jennifer Lawrence,26
Bryan Singer,Hugh Jackman,27
Carl Theodor Dreyer,Sylvia Eckhausen,28
Carl Theodor Dreyer,Hanne Aagesen,29
Carl Theodor Dreyer,Ejner Federspiel,30
Chris Buck,Maurice LaMarche,31
Chris Buck,Josh Gad,32
Chris Buck,Livvy Stubenrauch,33
David Fincher,Jason Flemyng,34
David Fincher,Brad Pitt,35
David Fincher,Julia Ormond,36
Dean DeBlois,America Ferrera,37
Dean DeBlois,Djimon Hounsou,38
Dean DeBlois,Gerard Butler,39
Dean DeBlois,Gerard Butler,40
Dean DeBlois,Craig Ferguson,41
Dean DeBlois,America Ferrera,42
Frank Capra,Lionel Barrymore,43
Frank Capra,Donna Reed,44
Frank Capra,Thomas Mitchell,45
Frank Darabont,Jeffrey DeMunn,46
Frank Darabont,Tom Hanks,47
Frank Darabont,Michael Jeter,48
George Lucas,Christopher Lee,49
George Lucas,Peter Cushing,50
George Lucas,Natalie Portman,51
George Lucas,Harrison Ford,52
George Lucas,Hayden Christensen,53
George Lucas,Kenny Baker,54
Gore Verbinski,Orlando Bloom,55
Gore Verbinski,Johnny Depp,56
