source,target,value
Alejandro Amenibar,Elaine Cassidy,1
Alfred Hitchcock,Vera Miles,2
Danny Boyle,Megan Burns,3
Edgar Wright,Dylan Moran,4
Eli Craig,Tyler Labine,5
George A. Romero,Duane Jones,6
George A. Romero,Duane Jones,7
Hideaki Anno,Shin'ya Tsukamoto,8
Hideaki Anno,Shin'ya Tsukamoto,9
Hong-jin Na,Jun Kunimura,10
James Wan,Frances O'Connor,11
James Wan,Monica Potter,12
John Carpenter,Richard Masur,13
John Carpenter,Donald Pleasence,14
John Carpenter,Donald Pleasence,15
John Carpenter,Donald Pleasence,16
John McTiernan,Bill Duke,17
Jonathan Demme,Scott Glenn,18
Mitchell Altieri,Luke Edwards,19
Neil Jordan,Tom Cruise,20
Richard Donner,Patrick Troughton,21
Richard Donner,Patrick Troughton,22
Ridley Scott,Yaphet Kotto,23
Robert Rodriguez,Rosario Dawson,24
Roman Polanski,Mia Farrow,25
Ruben Fleischer,Bill Murray,26
Sam Raimi,Bridget Fonda,27
Sam Raimi,Dan Hicks,28
Sam Raimi,Betsy Baker,29
Stanley Kubrick,Shelley Duvall,30
William Friedkin,Linda Blair,31
Alejandro Amenibar,Fionnula Flanagan,32
Alfred Hitchcock,Janet Leigh,33
Danny Boyle,Noah Huntley,34
Edgar Wright,Peter Serafinowicz,35
Eli Craig,Katrina Bowden,36
George A. Romero,Judith O'Dea,37
George A. Romero,Judith O'Dea,38
Hideaki Anno,Mark Chinnery,39
Hideaki Anno,Mark Chinnery,40
Hong-jin Na,Jung-min Hwang,41
James Wan,Javier Botet,42
James Wan,Michael Emerson,43
John Carpenter,Wilford Brimley,44
John Carpenter,Jamie Lee Curtis,45
John Carpenter,Jamie Lee Curtis,46
John Carpenter,Jamie Lee Curtis,47
John McTiernan,Shane Black,48
Jonathan Demme,Anthony Hopkins,49
Mitchell Altieri,Kimberley Crossman,50
Neil Jordan,Brad Pitt,51
Richard Donner,Lee Remick,52
Richard Donner,Lee Remick,53
Ridley Scott,Tom Skerritt,54
Robert Rodriguez,Quentin Tarantino,55
Roman Polanski,John Cassavetes,56
Ruben Fleischer,Emma Stone,57
Sam Raimi,Patricia Tallman,58
Sam Raimi,Ted Raimi,59
Sam Raimi,Ted Raimi,60
Stanley Kubrick,Scatman Crothers,61
William Friedkin,Ellen Burstyn,62
Alejandro Amenibar,Eric Sykes,63
Alfred Hitchcock,John Gavin,64
Danny Boyle,David Schneider,65
Edgar Wright,Rafe Spall,66
Eli Craig,Chelan Simmons,67
George A. Romero,S. William Hinzman,68
George A. Romero,S. William Hinzman,69
Hideaki Anno,Atsuko Maeda,70
Hideaki Anno,Atsuko Maeda,71
Hong-jin Na,Woo-hee Chun,72
James Wan,Robin Atkin Downes,73
James Wan,Shawnee Smith,74
John Carpenter,David Clennon,75
John Carpenter,P.J. Soles,76
John Carpenter,P.J. Soles,77
John Carpenter,P.J. Soles,78
John McTiernan,Carl Weathers,79
Jonathan Demme,Anthony Heald,80
Mitchell Altieri,Bree Williamson,81
Neil Jordan,Kirsten Dunst,82
Richard Donner,Billie Whitelaw,83
Richard Donner,Billie Whitelaw,84
Ridley Scott,Bolaji Badejo,85
Robert Rodriguez,Zoe Bell,86
Roman Polanski,Charles Grodin,87
Ruben Fleischer,Derek Graf,88
Sam Raimi,Embeth Davidtz,89
Sam Raimi,Kassie Wesley DePaiva,90
Sam Raimi,Ellen Sandweiss,91
Stanley Kubrick,Joe Turkel,92
William Friedkin,Lee J. Cobb,93
