source,target,value
Alex Garland,Sonoya Mizuno,1
Alex Proyas,William Hurt,2
Alfonso Cuaron,Gary Oldman,3
Alfred Hitchcock,Vera Miles,4
Alfred Hitchcock,Rhonda Fleming,5
Alfred Hitchcock,Joan Fontaine,6
Andrei Tarkovsky,Anatoliy Solonitsyn,7
Andrew Davis,Daniel Roebuck,8
Andrey Zvyagintsev,Vladimir Garin,9
Asghar Farhadi,Leila Hatami,10
Bryan Singer,Chazz Palminteri,11
Chan-wook Park,Ji-tae Yu,12
Christopher Nolan,Hugh Jackman,13
Christopher Nolan,Thomas Lennon,14
Clint Eastwood,Michael Kelly,15
Clint Eastwood,Spencer Treat Clark,16
Clint Eastwood,Richard Bull,17
Curtis Hanson,Matt McCoy,18
David Cronenberg,Naomi Watts,19
David Fincher,Goran Visnjic,20
David Fincher,Jake Gyllenhaal,21
David Fincher,Sela Ward,22
David Fincher,Armin Mueller-Stahl,23
David Fincher,Brad Pitt,24
David Lynch,Robert Forster,25
Denis Villeneuve,Jake Gyllenhaal,26
Denis Villeneuve,Bernardo Saracino,27
Denis Villeneuve,Melissa Desormeaux-Poulin,28
Denys Arcand,Stephane Rousseau,29
Doug Liman,Josh Hamilton,30
Duncan Jones,Matt Berry,31
Edgar Wright,Joe Cornish,32
Francois Girard,Clotilde Mollet,33
Francis Ford Coppola,Teri Garr,34
Frank Darabont,Jeffrey DeMunn,35
George A. Romero,Duane Jones,36
George A. Romero,Duane Jones,37
Giuseppe Tornatore,Sean Buchanan,38
Guy Ritchie,Eddie Marsan,39
Hong-jin Na,Jun Kunimura,40
James Foley,Al Pacino,41
James Wan,Frances O'Connor,42
James Wan,Monica Potter,43
Jean-Pierre Jeunet,Andre Dussollier,44
Joe Wright,Alfie Allen,45
John Carpenter,Richard Masur,46
John Sayles,Clifton James,47
Juan Jose Campanella,Soledad Villamil,48
Justin Paul Miller,Jennifer Landa,49
M. Night Shyamalan,Haley Joel Osment,50
Martin Scorsese,Joseph Sikora,51
Michael Haneke,Burghart Klaubner,52
Mike Newell,Daniel Radcliffe,53
Mike van Diem,Fedja van Huet,54
Neil Burger,Eddie Marsan,55
Neil Burger,Eddie Marsan,56
Niels Arden Oplev,David Dencik,57
Orson Welles,Everett Sloane,58
Paul Greengrass,Edgar Ramirez,59
Paul Greengrass,Joan Allen,60
Paul McGuigan,Morgan Freeman,61
Paul McGuigan,Morgan Freeman,62
Pedro Almodóvar,Lola Duenas,63
Quentin Tarantino,Jennifer Jason Leigh,64
Richard Donner,Patrick Troughton,65
Richard Donner,Patrick Troughton,66
Shane Black,Corbin Bernsen,67
Spike Lee,James Ransone,68
Stanley Kubrick,Gary Lockwood,69
Steven Spielberg,Frank Grillo,70
Zack Snyder,Billy Crudup,71
Alex Garland,Elina Alminas,72
Alex Proyas,Rufus Sewell,73
Alfonso Cuaron,Daniel Radcliffe,74
Alfred Hitchcock,Janet Leigh,75
Alfred Hitchcock,Norman Lloyd,76
Alfred Hitchcock,Laurence Olivier,77
Andrei Tarkovsky,Donatas Banionis,78
Andrew Davis,Harrison Ford,79
Andrey Zvyagintsev,Konstantin Lavronenko,80
Asghar Farhadi,Shahab Hosseini,81
Bryan Singer,Kevin Spacey,82
Chan-wook Park,Min-sik Choi,83
Christopher Nolan,Christian Bale,84
Christopher Nolan,Callum Rennie,85
Clint Eastwood,Angelina Jolie Pitt,86
Clint Eastwood,John Doman,87
Clint Eastwood,Clint Eastwood,88
Curtis Hanson,Kevin Spacey,89
David Cronenberg,Viggo Mortensen,90
David Fincher,Robin Wright,91
David Fincher,Robert Downey Jr.,92
David Fincher,Patrick Fugit,93
David Fincher,Deborah Kara Unger,94
David Fincher,Morgan Freeman,95
David Lynch,Naomi Watts,96
Denis Villeneuve,Hugh Jackman,97
Denis Villeneuve,Edgar Arreola,98
Denis Villeneuve,Lubna Azabal,99
Denys Arcand,Marie-Josee Croze,100
Doug Liman,Matt Damon,101
Duncan Jones,Kevin Spacey,102
Edgar Wright,Bill Bailey,103
Francois Girard,Johannes Silberschneider,104
Francis Ford Coppola,Harrison Ford,105
Frank Darabont,Tom Hanks,106
George A. Romero,Judith O'Dea,107
George A. Romero,Judith O'Dea,108
Giuseppe Tornatore,Jim Sturgess,109
