source,target,value
Anton Corbijn,Samantha Morton,1
Anton Corbijn,Sam Riley,2
Anton Corbijn,Alexandra Maria Lara,3
Baz Luhrmann,Kylie Minogue,4
Baz Luhrmann,Jim Broadbent,5
Baz Luhrmann,Richard Roxburgh,6
Billy Wilder,Joe E. Brown,7
Billy Wilder,Nehemiah Persoff,8
Billy Wilder,George Raft,9
Bob Fosse,Ben Vereen,10
Bob Fosse,Roy Scheider,11
Bob Fosse,Max Wright,12
Brian Henson,Jerry Nelson,13
Brian Henson,Steven Mackintosh,14
Brian Henson,Steve Whitmire,15
Cameron Crowe,Zooey Deschanel,16
Cameron Crowe,Philip Seymour Hoffman,17
Cameron Crowe,Michael Angarano,18
Catherine Owens,The Edge,19
Catherine Owens,Bono,20
Catherine Owens,Larry Mullen Jr.,21
Chris Buck,Maurice LaMarche,22
Chris Buck,Josh Gad,23
Chris Buck,Livvy Stubenrauch,24
Christian Carion,Dany Boon,25
Christian Carion,Gary Lewis,26
Christian Carion,Ian Richardson,27
Christophe Barratier,Francois Berleand,28
Christophe Barratier,Jean-Baptiste Maunier,29
Christophe Barratier,Gerard Jugnot,30
Damien Chazelle,Melissa Benoist,31
Damien Chazelle,J.K. Simmons,32
Damien Chazelle,Chris Mulkey,33
F. Gary Gray,Neil Brown Jr.,34
F. Gary Gray,Aldis Hodge,35
F. Gary Gray,R. Marcos Taylor,36
Francois Girard,Clotilde Mollet,37
Francois Girard,Johannes Silberschneider,38
Francois Girard,Carlo Cecchi,39
George Cukor,Rex Harrison,40
George Cukor,Jeremy Brett,41
George Cukor,Theodore Bikel,42
James Algar,Deems Taylor,43
James Algar,Leopold Stokowski,44
James Frawley,Jim Henson,45
James Frawley,Madeline Kahn,46
James Frawley,Dom DeLuise,47
James Mangold,Dallas Roberts,48
James Mangold,Sandra Ellis Lafferty,49
James Mangold,Tyler Hilton,50
Jane Campion,Ian Mune,51
Jane Campion,Holly Hunter,52
Jane Campion,Geneviève Lemon,53
Jason Miller,Dottie Alexander,54
Jason Miller,Jon Brion,55
Jason Miller,David Barnes,56
Jerome Robbins,George Chakiris,57
Jerome Robbins,Rita Moreno,58
Jerome Robbins,Richard Beymer,59
Joel Coen,Tim Blake Nelson,60
Joel Coen,Holly Hunter,61
Joel Coen,Daniel von Bargen,62
John Cameron Mitchell,Miriam Shor,63
John Cameron Mitchell,John Cameron Mitchell,64
John Cameron Mitchell,Andrea Martin,65
John Carney,Marketa Irglova,66
John Carney,Glen Hansard,67
John Carney,Darren Healy,68
John Landis,Aretha Franklin,69
John Landis,John Belushi,70
John Landis,Ray Charles,71
Kay Pollak,Frida Hallgren,72
Kay Pollak,Michael Nyqvist,73
Kay Pollak,Nils-Anders Vallgårda,74
Lars von Trier,Udo Kier,75
Lars von Trier,Catherine Deneuve,76
Lars von Trier,Bjork,77
Lauren Lazin,Gary Coleman,78
Lauren Lazin,James Cagney,79
Lauren Lazin,Todd Bridges,80
Lloyd Bacon,Dick Powell,81
Lloyd Bacon,Ginger Rogers,82
Lloyd Bacon,George Brent,83
Mark Sandrich,Edward Everett Horton,84
Mark Sandrich,Ginger Rogers,85
Mark Sandrich,Eric Blore,86
Martin Scorsese,Levon Helm,87
Martin Scorsese,Ringo Starr,88
Martin Scorsese,Bob Dylan,89
Mel Stuart,Jack Albertson,90
Mel Stuart,Peter Ostrum,91
Mel Stuart,Julie Dawn Cole,92
Michael Wadleigh,Jimi Hendrix,93
Michael Wadleigh,Joe Cocker,94
Michael Wadleigh,Joan Baez,95
Milos Forman,F. Murray Abraham,96
Milos Forman,Jeffrey Jones,97
Milos Forman,Tom Hulce,98
Nathan Greno,Donna Murphy,99
Nathan Greno,Brad Garrett,100
Nathan Greno,M.C. Gainey,101
Norman Jewison,Paul Michael Glaser,102
Norman Jewison,Topol,103
Norman Jewison,Rosalind Harris,104
Peter H. Hunt,Ken Howard,105
Peter H. Hunt,Blythe Danner,106
Peter H. Hunt,Howard Caine,107
Richard Lester,Ringo Starr,108
Richard Lester,Paul McCartney,109
Richard Lester,George Harrison,110
Robert Stevenson,Glynis Johns,111
Robert Stevenson,Ed Wynn,112
Robert Stevenson,Elsa Lanchester,113
Robert Wise,Angela Cartwright,114
Robert Wise,Eleanor Parker,115
Robert Wise,Nicholas Hammond,116
Roger Allers,Nathan Lane,117
Roger Allers,Matthew Broderick,118
Roger Allers,Niketa Calame,119
Ron Clements,Frank Welker,120
Ron Clements,Robin Williams,121
Ron Clements,Scott Weinger,122
Ron Fricke,Balinese Tari Legong Dancers,123
Ron Fricke,Collin Alfredo St. Dic,124
Ron Fricke,Puti Sri Candra Dewi,125
Scott Hicks,Armin Mueller-Stahl,126
Scott Hicks,Noah Taylor,127
Scott Hicks,Nicholas Bell,128
Stanley Donen,Debbie Reynolds,129
Stanley Donen,Rita Moreno,130
Stanley Donen,Cyd Charisse,131
Stephen Daldry,Gary Lewis,132
Stephen Daldry,Julie Walters,133
Stephen Daldry,Jamie Draven,134
Stephen Frears,Lili Taylor,135
Stephen Frears,Drake Bell,136
Stephen Frears,Lisa Bonet,137
Taylor Hackford,Curtis Armstrong,138
Taylor Hackford,Bokeem Woodbine,139
Taylor Hackford,Harry Lennix,140
Tom Hooper,Eddie Redmayne,141
Tom Hooper,Hugh Jackman,142
Tom Hooper,Anne Hathaway,143
Trey Parker,Eric Idle,144
Trey Parker,Minnie Driver,145
Trey Parker,Trey Parker,146
Victor Fleming,Terry,147
Victor Fleming,Margaret Hamilton,148
Victor Fleming,Billie Burke,149
William Cottrell,Billy Gilbert,150
William Cottrell,Adriana Caselotti,151
William Cottrell,Lucille La Verne,152
Yash Chopra,Preity Zinta,153
Yash Chopra,Shah Rukh Khan,154
Yash Chopra,Anupam Kher,155
