source,target,value
Baz Luhrmann,Kylie Minogue,1
Bob Fosse,Ben Vereen,2
Brian Henson,Jerry Nelson,3
Chris Buck,Maurice LaMarche,4
George Cukor,Rex Harrison,5
James Frawley,Jim Henson,6
Jerome Robbins,George Chakiris,7
John Cameron Mitchell,Miriam Shor,8
Lars von Trier,Udo Kier,9
Lloyd Bacon,Dick Powell,10
Mark Sandrich,Edward Everett Horton,11
Mel Stuart,Jack Albertson,12
Nathan Greno,Donna Murphy,13
Norman Jewison,Paul Michael Glaser,14
Peter H. Hunt,Ken Howard,15
Richard Lester,Ringo Starr,16
Robert Stevenson,Glynis Johns,17
Robert Wise,Angela Cartwright,18
Roger Allers,Nathan Lane,19
Ron Clements,Frank Welker,20
Stanley Donen,Debbie Reynolds,21
Tom Hooper,Eddie Redmayne,22
Trey Parker,Eric Idle,23
Victor Fleming,Terry,24
William Cottrell,Billy Gilbert,25
Yash Chopra,Preity Zinta,26
Baz Luhrmann,Jim Broadbent,27
Bob Fosse,Roy Scheider,28
Brian Henson,Steven Mackintosh,29
Chris Buck,Josh Gad,30
George Cukor,Jeremy Brett,31
James Frawley,Madeline Kahn,32
Jerome Robbins,Rita Moreno,33
John Cameron Mitchell,John Cameron Mitchell,34
Lars von Trier,Catherine Deneuve,35
Lloyd Bacon,Ginger Rogers,36
Mark Sandrich,Ginger Rogers,37
Mel Stuart,Peter Ostrum,38
Nathan Greno,Brad Garrett,39
Norman Jewison,Topol,40
Peter H. Hunt,Blythe Danner,41
Richard Lester,Paul McCartney,42
Robert Stevenson,Ed Wynn,43
Robert Wise,Eleanor Parker,44
Roger Allers,Matthew Broderick,45
Ron Clements,Robin Williams,46
Stanley Donen,Rita Moreno,47
Tom Hooper,Hugh Jackman,48
Trey Parker,Minnie Driver,49
Victor Fleming,Margaret Hamilton,50
William Cottrell,Adriana Caselotti,51
Yash Chopra,Shah Rukh Khan,52
Baz Luhrmann,Richard Roxburgh,53
Bob Fosse,Max Wright,54
Brian Henson,Steve Whitmire,55
Chris Buck,Livvy Stubenrauch,56
George Cukor,Theodore Bikel,57
James Frawley,Dom DeLuise,58
Jerome Robbins,Richard Beymer,59
John Cameron Mitchell,Andrea Martin,60
Lars von Trier,Bjork,61
Lloyd Bacon,George Brent,62
Mark Sandrich,Eric Blore,63
Mel Stuart,Julie Dawn Cole,64
Nathan Greno,M.C. Gainey,65
Norman Jewison,Rosalind Harris,66
Peter H. Hunt,Howard Caine,67
Richard Lester,George Harrison,68
Robert Stevenson,Elsa Lanchester,69
Robert Wise,Nicholas Hammond,70
Roger Allers,Niketa Calame,71
Ron Clements,Scott Weinger,72
Stanley Donen,Cyd Charisse,73
Tom Hooper,Anne Hathaway,74
Trey Parker,Trey Parker,75
Victor Fleming,Billie Burke,76
William Cottrell,Lucille La Verne,77
Yash Chopra,Anupam Kher,78
