source,target,value
Alejandro Amenibar,Lola Duetas,1
Alejandro G. Inarritu,Naomi Watts,2
Alfonso Cuaron,Daniel Gimenez Cacho,3
Alfred Hitchcock,Rhonda Fleming,4
Alice Wu,Ato Essandoh,5
Andrew Haigh,Chris New,6
Ang Lee,Kate Winslet,7
Ang Lee,Pei-Pei Cheng,8
Ang Lee,Heath Ledger,9
Baz Luhrmann,Kylie Minogue,10
Billy Wilder,Ray Walston,11
Billy Wilder,Joe E. Brown,12
Christian Carion,Dany Boon,13
Danny Boyle,Saurabh Shukla,14
David Fincher,Jason Flemyng,15
David Lean,Klaus Kinski,16
David O. Russell,Robert De Niro,17
Deepa Mehta,Gulshan Grover,18
Deepa Mehta,Lisa Ray,19
Denys Arcand,Stephane Rousseau,20
Elia Kazan,Karl Malden,21
François Girard,Clotilde Mollet,22
Frank Capra,Lionel Barrymore,23
Frank Capra,Ann Miller,24
Frank Capra,Alan Hale,25
Fred Zinnemann,Donna Reed,26
Gabriele Muccino,Rosario Dawson,27
Georg Wilhelm Pabst,Francis Lederer,28
George Cukor,Rex Harrison,29
George P. Cosmatos,Dana Delany,30
Giovanni Zelko,Harry Lennix,31
Giuseppe Tornatore,Sean Buchanan,32
Harold Ramis,Chris Elliott,33
Howard Hawks,Walter Brennan,34
Isabel Coixet,Julian Richings,35
Jaime Zevallos,Jaime Zevallos,36
James Cameron,Kate Winslet,37
James Ivory,Peter Vaughan,38
James Ivory,Denholm Elliott,39
James L. Brooks,Yeardley Smith,40
James Mangold,Dallas Roberts,41
James Marsh,Emily Watson,42
Jane Campion,Ian Mune,43
Jean-Luc Godard,Anna Karina,44
Jean-Pierre Jeunet,Andre Dussollier,45
Jean-Pierre Jeunet,Jamel Debbouze,46
Jerome Robbins,George Chakiris,47
Joe Wright,Alfie Allen,48
Joe Wright,Brenda Blethyn,49
John Carney,Marketa Irglova,50
John Cromwell,Mary Astor,51
Jonathan Levine,Anna Kendrick,52
Josh Boone,Sam Trammell,53
Kay Pollak,Frida Hallgren,54
Kenneth Branagh,Derek Jacobi,55
Kevin Jordan,Christa Miller,56
Kevin Reynolds,James Frain,57
Kimberly Peirce,Brendan Sexton III,58
King Vidor,Renee Adoree,59
Lasse Hallstrom,Leonardo DiCaprio,60
Lloyd Bacon,Dick Powell,61
Marc Forster,Christian Stolte,62
Marc Webb,Chloë Grace Moretz,63
Mark Sandrich,Edward Everett Horton,64
Matthew Vaughn,David Kelly,65
Michael Curtiz,Claude Rains,66
Michael Haneke,Emmanuelle Riva,67
Michael Mann,Terry Kinney,68
Michael Roemer,Gloria Foster,69
Michel Gondry,Kirsten Dunst,70
Michel Hazanavicius,Ed Lauter,71
Mike Figgis,Valeria Golino,72
Nathan Greno,Donna Murphy,73
Neil Burger,Eddie Marsan,74
Neil Burger,Eddie Marsan,75
Nick Cassavetes,Kevin Connolly,76
Norman Jewison,Paul Michael Glaser,77
Rajkumar Hirani,Sanjay Dutt,78
Rakeysh Omprakash Mehra,Steven Mackintosh,79
Richard Brooks,Judith Anderson,80
Richard Curtis,Liam Neeson,81
Richard Curtis,Tom Hollander,82
Richard Linklater,Ariane Labed,83
Richard Linklater,Hans Weingartner,84
Richard Linklater,Albert Delpy,85
Richard Schenkman,John Billingsley,86
Ridley Scott,Connie Nielsen,87
Ritesh Batra,Nimrat Kaur,88
Rob Reiner,Gretchen Palmer,89
Rob Reiner,Carol Kane,90
Rob Reiner,Rebecca De Mornay,91
Robert Wise,Angela Cartwright,92
Robert Zemeckis,Paul Sanchez,93
Ron Clements,Frank Welker,94
Scott Hicks,Armin Mueller-Stahl,95
Shona Auerbach,Sharon Small,96
Sidney Lumet,Faye Dunaway,97
Spike Jonze,Brian Johnson,98
Spike Lee,Delroy Lindo,99
Stanley Donen,Debbie Reynolds,100
Stanley Kubrick,Shelley Winters,101
Stanley Kubrick,Shelley Winters,102
Stephen Chbosky,Ezra Miller,103
Stephen Daldry,David Kross,104
Stephen Daldry,Stephen Dillane,105
Stephen Frears,Peter Capaldi,106
Stephen Frears,Lili Taylor,107
Stephen Frears,Peter Capaldi,108
Terrence Malick,Stuart Margolin,109
Thea Sharrock,Emilia Clarke,110
Tim Burton,Dianne Wiest,111
Tim Miller,Ed Skrein,112
Todd Field,Noah Emmerich,113
Tom Ford,Teddy Sears,114
Tom Hooper,Eddie Redmayne,115
Tom Hooper,Jennifer Ehle,116
Tony Scott,Gary Oldman,117
Victor Fleming,George Reeves,118
Wes Anderson,Bill Murray,119
William Wyler,Teresa Wright,120
Wolfgang Becker,Chulpan Khamatova,121
Woody Allen,Audrey Fleurot,122
Woody Allen,Mark Gatiss,123
Woody Allen,Carol Kane,124
Yash Chopra,Preity Zinta,125
Yimou Zhang,Ni Ni,126
Yimou Zhang,Andy Lau,127
Zach Braff,Michael Weston,128
Alejandro Amenibar,Belen Rueda,129
Alejandro G. Inarritu,Emma Stone,130
Alfonso Cuaron,Maribel Verdu,131
Alfred Hitchcock,Norman Lloyd,132
Alice Wu,Joan Chen,133
Andrew Haigh,Tom Cullen,134
Ang Lee,Alan Rickman,135
Ang Lee,Chen Chang,136
Ang Lee,Jake Gyllenhaal,137
Baz Luhrmann,Jim Broadbent,138
Billy Wilder,Fred MacMurray,139
Billy Wilder,Nehemiah Persoff,140
Christian Carion,Gary Lewis,141
Danny Boyle,Anil Kapoor,142
David Fincher,Brad Pitt,143
David Lean,Julie Christie,144
David O. Russell,Jennifer Lawrence,145
Deepa Mehta,Nandita Das,146
Deepa Mehta,John Abraham,147
Denys Arcand,Marie-Josee Croze,148
Elia Kazan,Marlon Brando,149
François Girard,Johannes Silberschneider,150
Frank Capra,Donna Reed,151
Frank Capra,Jean Arthur,152
Frank Capra,Claudette Colbert,153
Fred Zinnemann,Montgomery Clift,154
Gabriele Muccino,Will Smith,155
Georg Wilhelm Pabst,Louise Brooks,156
George Cukor,Jeremy Brett,157
George P. Cosmatos,Michael Biehn,158
Giovanni Zelko,Zuhair Haddad,159
Giuseppe Tornatore,Jim Sturgess,160
Harold Ramis,Bill Murray,161
Howard Hawks,Montgomery Clift,162
Isabel Coixet,Sarah Polley,163
Jaime Zevallos,Angela Sarafyan,164
James Cameron,Leonardo DiCaprio,165
James Ivory,Anthony Hopkins,166
James Ivory,Rupert Graves,167
