source,target,value
Alex Garland,Sonoya Mizuno,1
Alex Proyas,William Hurt,2
Alfonso Cuaron,Basher Savage,3
Alfonso Cuaron,Danny Huston,4
Andrei Tarkovsky,Anatoliy Solonitsyn,5
Andrew Niccol,Xander Berkeley,6
Andrew Stanton,Fred Willard,7
Anthony Russo,Scarlett Johansson,8
Anthony Russo,Chris Evans,9
Brad Bird,Harry Connick Jr.,10
Bryan Singer,Peter Dinklage,11
Christopher Nolan,Anne Hathaway,12
Christopher Nolan,Tom Hardy,13
Christopher Nolan,Hugh Jackman,14
Danny Boyle,Megan Burns,15
Don Hall,Daniel Henney,16
Doug Liman,Lara Pulver,17
Duncan Jones,Matt Berry,18
Eric Bress,Eric Stoltz,19
Francis Lawrence,Josh Hutcherson,20
Fritz Lang,Gustav Frahlich,21
George Lucas,Christopher Lee,22
George Lucas,Peter Cushing,23
George Miller,Charlize Theron,24
George Miller,Bruce Spence,25
Hideaki Anno,Shin'ya Tsukamoto,26
Hideaki Anno,Shin'ya Tsukamoto,27
Irvin Kershner,Kenny Baker,28
J.J. Abrams,Bruce Greenwood,29
J.J. Abrams,Leonard Nimoy,30
James Cameron,Joel David Moore,31
James Cameron,Jenette Goldstein,32
James Cameron,Todd Graff,33
James Cameron,Carrie Henn,34
James Cameron,Brian Thompson,35
James Gunn,Vin Diesel,36
Jay Oliva,Mark Valley,37
John Carpenter,Richard Masur,38
John McTiernan,Bill Duke,39
Jon Favreau,Jeff Bridges,40
Jonathan Frakes,Alfre Woodard,41
Joseph Kosinski,Lauren Cohan,42
Joss Whedon,Robert Downey Jr.,43
Joss Whedon,Robert Downey Jr.,44
Joss Whedon,Sean Maher,45
Katsuhiro Ôtomo,Takeshi Kusao,46
Lana Wachowski,Marcus Chong,47
Luc Besson,Bruce Willis,48
Matt Reeves,Judy Greer,49
Matthew Vaughn,Michael Fassbender,50
Michel Gondry,Kirsten Dunst,51
Neill Blomkamp,Jed Brophy,52
Nicholas Meyer,Kirstie Alley,53
Peter Weir,Noah Emmerich,54
Rich Moore,Sarah Silverman,55
Richard Kelly,Mary McDonnell,56
Richard Marquand,Ian McDiarmid,57
Richard Schenkman,John Billingsley,58
Ridley Scott,Donald Glover,59
Ridley Scott,Sean Young,60
Ridley Scott,Yaphet Kotto,61
Robert Zemeckis,Jeffrey Weissman,62
Robert Zemeckis,Thomas F. Wilson,63
Ruben Fleischer,Bill Murray,64
Rupert Wyatt,David Oyelowo,65
Spike Jonze,Brian Johnson,66
Stanley Kubrick,Gary Lockwood,67
Steven Spielberg,Frank Grillo,68
Steven Spielberg,Ariana Richards,69
Steven Spielberg,Teri Garr,70
Steven Spielberg,Dee Wallace,71
Terry Gilliam,Bob Hoskins,72
Tim Miller,Ed Skrein,73
Zack Snyder,Billy Crudup,74
Alex Garland,Elina Alminas,75
Alex Proyas,Rufus Sewell,76
Alfonso Cuaron,Phaldut Sharma,77
Alfonso Cuaron,Charlie Hunnam,78
Andrei Tarkovsky,Donatas Banionis,79
Andrew Niccol,Blair Underwood,80
Andrew Stanton,John Ratzenberger,81
Anthony Russo,Robert Downey Jr.,82
Anthony Russo,Scarlett Johansson,83
Brad Bird,Vin Diesel,84
Bryan Singer,Jennifer Lawrence,85
Christopher Nolan,Matthew McConaughey,86
Christopher Nolan,Leonardo DiCaprio,87
Christopher Nolan,Christian Bale,88
Danny Boyle,Noah Huntley,89
Don Hall,Damon Wayans Jr.,90
Doug Liman,Tom Cruise,91
Duncan Jones,Kevin Spacey,92
Eric Bress,Logan Lerman,93
Francis Lawrence,Jennifer Lawrence,94
Fritz Lang,Brigitte Helm,95
George Lucas,Natalie Portman,96
George Lucas,Harrison Ford,97
George Miller,Tom Hardy,98
George Miller,Vernon Wells,99
Hideaki Anno,Mark Chinnery,100
Hideaki Anno,Mark Chinnery,101
Irvin Kershner,Harrison Ford,102
J.J. Abrams,Benedict Cumberbatch,103
J.J. Abrams,Chris Hemsworth,104
James Cameron,CCH Pounder,105
James Cameron,Joe Morton,106
James Cameron,Michael Biehn,107
James Cameron,Michael Biehn,108
James Cameron,Michael Biehn,109
James Gunn,Bradley Cooper,110
Jay Oliva,Michael Emerson,111
John Carpenter,Wilford Brimley,112
John McTiernan,Shane Black,113
