source,target,value
Barry W. Blaustein,Vince McMahon,1
Barry W. Blaustein,Terry Funk,2
Barry W. Blaustein,Mick Foley,3
Bennett Miller,Robin Wright,4
Bennett Miller,Philip Seymour Hoffman,5
Bennett Miller,Brad Pitt,6
Boaz Yakin,Denzel Washington,7
Boaz Yakin,Ryan Gosling,8
Boaz Yakin,Ethan Suplee,9
Charles Biname,Roy Dupuis,10
Charles Biname,Stephen McHattie,11
Charles Biname,Julie LeBreton,12
Clint Eastwood,Morgan Freeman,13
Clint Eastwood,Clint Eastwood,14
Clint Eastwood,Mike Colter,15
Darren Aronofsky,John D'Leo,16
Darren Aronofsky,Mark Margolis,17
Darren Aronofsky,Ajay Naidu,18
David O. Russell,Jack McGee,19
David O. Russell,Christian Bale,20
David O. Russell,Melissa McMeekin,21
Gavin O'Connor,Frank Grillo,22
Gavin O'Connor,Tom Hardy,23
Gavin O'Connor,Kevin Dunn,24
Henry Alex Rubin,Joe Bishop,25
Henry Alex Rubin,Mark Zupan,26
Henry Alex Rubin,Andy Cohn,27
John G. Avildsen,Burgess Meredith,28
John G. Avildsen,Sylvester Stallone,29
John G. Avildsen,Carl Weathers,30
John Lee Hancock,Quinton Aaron,31
John Lee Hancock,Catherine Dyer,32
John Lee Hancock,Kim Dickens,33
Kevin Macdonald,Brendan Mackey,34
Kevin Macdonald,Nicholas Aaron,35
Kevin Macdonald,Joe Simpson,36
Marius A. Markevicius,Greg Speirs,37
Marius A. Markevicius,Tommy Sheppard,38
Marius A. Markevicius,Mickey Hart,39
Martin Scorsese,Cathy Moriarty,40
Martin Scorsese,Robert De Niro,41
Martin Scorsese,Frank Vincent,42
Michael McGowan,Adam Butcher,43
Michael McGowan,Campbell Scott,44
Michael McGowan,Gordon Pinsent,45
Norman Jewison,Vincent Pastore,46
Norman Jewison,Denzel Washington,47
Norman Jewison,Deborah Kara Unger,48
Robert Rossen,Jackie Gleason,49
Robert Rossen,George C. Scott,50
Robert Rossen,Murray Hamilton,51
Roger Donaldson,Antony Starr,52
Roger Donaldson,Anthony Hopkins,53
Roger Donaldson,Craig Hall,54
Ron Howard,Bruce McGill,55
Ron Howard,Olivia Wilde,56
Ron Howard,Paddy Considine,57
Ron Howard,Chris Hemsworth,58
Ron Howard,Rosemarie DeWitt,59
Ron Howard,Alexandra Maria Lara,60
Ryan Coogler,Phylicia Rashad,61
Ryan Coogler,Sylvester Stallone,62
Ryan Coogler,Graham McTavish,63
Stacy Peralta,Gabrielle Reece,64
Stacy Peralta,Jay Adams,65
Stacy Peralta,Gerry Lopez,66
Stacy Peralta,Tony Alva,67
Stacy Peralta,Laird John Hamilton,68
Stacy Peralta,Jeff Ament,69
Steve James,Arthur Agee,70
Steve James,William Gates,71
Steve James,Isiah Thomas,72
Tom Hooper,Mark Bazeley,73
Tom Hooper,Stephen Graham,74
Tom Hooper,Maurice Roaves,75
