source,target,value
Alex Gibney,George W. Bush,1
Alex Gibney,Alex Gibney,2
Alex Gibney,Greg D'Agostino,3
Ari Folman,Ronny Dayag,4
Ari Folman,Ari Folman,5
Ari Folman,Zahava Solomon,6
Brian Percival,Sophie Nelisse,7
Brian Percival,Emily Watson,8
Brian Percival,Roger Allam,9
Charles Ferguson,Dick Cheney,10
Charles Ferguson,Campbell Scott,11
Charles Ferguson,Donald Rumsfeld,12
Christian Carion,Dany Boon,13
Christian Carion,Gary Lewis,14
Christian Carion,Ian Richardson,15
Chuan Lu,Yuanyuan Gao,16
Chuan Lu,Ye Liu,17
Chuan Lu,Ryu Kohata,18
Clint Eastwood,Kazunari Ninomiya,19
Clint Eastwood,Yuki Matsuzaki,20
Clint Eastwood,Shida Nakamura,21
D.W. Griffith,Mae Marsh,22
D.W. Griffith,Lillian Gish,23
D.W. Griffith,Walter Long,24
David Ayer,Logan Lerman,25
David Ayer,Brad Pitt,26
David Ayer,Jim Parrack,27
David Lean,Jose Ferrer,28
David Lean,Klaus Kinski,29
David Lean,Sessue Hayakawa,30
David Lean,Claude Rains,31
David Lean,Julie Christie,32
David Lean,William Holden,33
David Lean,Jack Hawkins,34
David Lean,Geraldine Chaplin,35
David Lean,Jack Hawkins,36
Deepa Mehta,Gulshan Grover,37
Deepa Mehta,Nandita Das,38
Deepa Mehta,Eric Peterson,39
Denis Villeneuve,Melissa Desormeaux-Poulin,40
Denis Villeneuve,Lubna Azabal,41
Denis Villeneuve,Ahmad Massad,42
Dror Moreh,Yuval Diskin,43
Dror Moreh,Ami Ayalon,44
Dror Moreh,Yaakov Peri,45
Edward Zwick,Tony Goldwyn,46
Edward Zwick,Morgan Freeman,47
Edward Zwick,Morgan Freeman,48
Edward Zwick,Tom Cruise,49
Edward Zwick,Denzel Washington,50
Edward Zwick,Denzel Washington,51
Edward Zwick,Chad Lindberg,52
Edward Zwick,Matthew Broderick,53
Edward Zwick,Matthew Broderick,54
Francis Ford Coppola,Marlon Brando,55
Francis Ford Coppola,Harrison Ford,56
Francis Ford Coppola,Robert Duvall,57
Franklin J. Schaffner,Karl Malden,58
Franklin J. Schaffner,George C. Scott,59
Franklin J. Schaffner,Bill Hickman,60
Fred Zinnemann,Donna Reed,61
Fred Zinnemann,Montgomery Clift,62
Fred Zinnemann,Deborah Kerr,63
Guillermo del Toro,Maribel Verdu,64
Guillermo del Toro,Ivana Baquero,65
Guillermo del Toro,Sergi Lopez,66
Howard Hughes,Marian Marsh,67
Howard Hughes,Jean Harlow,68
Howard Hughes,James Hall,69
Jean-Jacques Annaud,Gabriel Thomson,70
Jean-Jacques Annaud,Bob Hoskins,71
Jean-Jacques Annaud,Clemens Schick,72
Jean-Pierre Jeunet,Andre Dussollier,73
Jean-Pierre Jeunet,Denis Lavant,74
Jean-Pierre Jeunet,Albert Dupontel,75
Je-kyu Kang,Bin Won,76
Je-kyu Kang,Min-sik Choi,77
Je-kyu Kang,Dong-gun Jang,78
Joe Wright,Alfie Allen,79
Joe Wright,Benedict Cumberbatch,80
Joe Wright,Brenda Blethyn,81
John Frankenheimer,Paul Scofield,82
John Frankenheimer,Jeanne Moreau,83
John Frankenheimer,Michel Simon,84
John Sturges,Donald Pleasence,85
John Sturges,James Coburn,86
John Sturges,Gordon Jackson,87
Kathryn Bigelow,Christian Camargo,88
Kathryn Bigelow,Jeremy Renner,89
Kathryn Bigelow,Brian Geraghty,90
Ken Annakin,Richard Beymer,91
Ken Annakin,Richard Burton,92
Ken Annakin,Eddie Albert,93
Kenneth Branagh,Derek Jacobi,94
Kenneth Branagh,Brian Blessed,95
Kenneth Branagh,Danny Webb,96
King Vidor,Renee Adoree,97
King Vidor,John Gilbert,98
King Vidor,Claire Adams,99
Larry Charles,Tal Bachman,100
Larry Charles,Bill Maher,101
Larry Charles,Steve Burg,102
Mark Herman,Sheila Hancock,103
Mark Herman,Richard Johnson,104
Mark Herman,Cara Horgan,105
Mel Gibson,Patrick McGoohan,106
Mel Gibson,Mhairi Calvey,107
Mel Gibson,James Robinson,108
Michael Cimino,Meryl Streep,109
Michael Cimino,Robert De Niro,110
Michael Cimino,John Savage,111
Michael Curtiz,Claude Rains,112
Michael Curtiz,Humphrey Bogart,113
Michael Curtiz,Conrad Veidt,114
Michael Mann,Terry Kinney,115
Michael Mann,Wes Studi,116
Michael Mann,Eric Schweig,117
Morten Tyldum,Rory Kinnear,118
Morten Tyldum,Benedict Cumberbatch,119
Morten Tyldum,Allen Leech,120
Moustapha Akkad,Rod Steiger,121
Moustapha Akkad,Oliver Reed,122
Moustapha Akkad,John Gielgud,123
Oliver Hirschbiegel,Bruno Ganz,124
Oliver Hirschbiegel,Thomas Kretschmann,125
Oliver Hirschbiegel,Alexandra Maria Lara,126
Oliver Stone,Tom Berenger,127
Oliver Stone,Johnny Depp,128
Oliver Stone,Kevin Dillon,129
Paul Greengrass,Nicholas Farrell,130
Paul Greengrass,James Nesbitt,131
Paul Greengrass,Tim Pigott-Smith,132
Paul Verhoeven,Sebastian Koch,133
Paul Verhoeven,Michiel Huisman,134
Paul Verhoeven,Christian Berkel,135
Peter Berg,Scott Elrod,136
Peter Berg,Jerry Ferrara,137
Peter Berg,Dan Bilzerian,138
Quentin Tarantino,Brad Pitt,139
Quentin Tarantino,Michael Fassbender,140
Quentin Tarantino,Christoph Waltz,141
Raja Menon,Sameer Ali Khan,142
Raja Menon,Nimrat Kaur,143
Raja Menon,Purab Kohli,144
Ridley Scott,Sam Shepard,145
