source,target,value
Alejandro G. Inarritu,Tom Hardy,1
Alejandro G. Inarritu,Leonardo DiCaprio,2
Alejandro G. Inarritu,Lukas Haas,3
Clint Eastwood,Morgan Freeman,4
Clint Eastwood,Richard Bull,5
Clint Eastwood,Clint Eastwood,6
Clint Eastwood,Clint Eastwood,7
Clint Eastwood,Frances Fisher,8
Clint Eastwood,John Hillerman,9
Ethan Coen,Jeff Bridges,10
Ethan Coen,Matt Damon,11
Ethan Coen,Bruce Green,12
Fred Zinnemann,Lloyd Bridges,13
Fred Zinnemann,Gary Cooper,14
Fred Zinnemann,Lon Chaney Jr.,15
George P. Cosmatos,Dana Delany,16
George P. Cosmatos,Michael Biehn,17
George P. Cosmatos,Powers Boothe,18
George Roy Hill,Ted Cassidy,19
George Roy Hill,Katharine Ross,20
George Roy Hill,Kenneth Mars,21
Howard Hawks,Walter Brennan,22
Howard Hawks,Montgomery Clift,23
Howard Hawks,Harry Carey Jr.,24
James Mangold,Logan Lerman,25
James Mangold,Christian Bale,26
James Mangold,Gretchen Mol,27
John Ford,Woody Strode,28
John Ford,Lee Marvin,29
John Ford,Vera Miles,30
Kevin Costner,Michael Spears,31
Kevin Costner,Mary McDonnell,32
Kevin Costner,Maury Chaykin,33
Mel Brooks,David Huddleston,34
Mel Brooks,Madeline Kahn,35
Mel Brooks,Harvey Korman,36
Quentin Tarantino,Christoph Waltz,37
Quentin Tarantino,Jennifer Jason Leigh,38
Quentin Tarantino,Leonardo DiCaprio,39
Quentin Tarantino,Craig Stark,40
Quentin Tarantino,Ato Essandoh,41
Quentin Tarantino,Zoe Bell,42
Sam Peckinpah,Warren Oates,43
Sam Peckinpah,William Holden,44
Sam Peckinpah,L.Q. Jones,45
Sergio Leone,Woody Strode,46
Sergio Leone,Gian Maria Volonta,47
Sergio Leone,Claudia Cardinale,48
Sergio Leone,Clint Eastwood,49
Sergio Leone,Jack Elam,50
Sergio Leone,Aldo Sambrell,51
